Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	9 July 1973	Newport	Grass	Julie Heldman	Patti Hogan Sharon Walsh	1–5 Shared – final rained out
Runner-up	17 December 1973	Hobart	Grass	Jackie Fayter	Helen Gourlay Karen Krantzcke	2–6, 1–6
Winner	8 April 1974	Phoenix	Hard	Janet Young	Ann Kiyomura Betsy Nagelsen	w/o
Runner-up	18 November 1974	Johannesburg	Hard	Margaret Court	Ilana Kloss Kerry Melville	3–6, 5–7
Winner	19 May 1975	Hamburg	Clay	Renáta Tomanová	Paulina Peisachov Kazuko Sawamatsu	6–3, 6–2
Winner	8 March 1976	Tallahassee	Hard	Julie Anthony	Virginia Ruzici Mariana Simionescu	6–2, 7–5
Runner-up	26 December 1976	Sydney	Grass	Renáta Tomanová	Helen Gourlay Betsy Nagelsen	4–6, 1–6
Winner	3 January 1977	Australian Open	Grass	Helen Gourlay	Kerry Melville Reid Betsy Nagelsen	5–7, 6–1, 7–5
Runner-up	23 September 1977	Hilton Head	Clay	Virginia Wade	Evonne Goolagong Kerry Melville Reid	2–6, 6–3, 4–6
Winner	14 May 1979	Vienna	Clay	Marise Kruger	Ilana Kloss Betty Ann Stuart	3–6, 6–4, 6–1
Runner-up	26 November 1979	Melbourne	Grass	Anne Smith	Billie Jean King Wendy Turnbull	3–6, 3–6
Runner-up	28 February 1983	Palm Springs	Hard	Betty Stöve	Kathy Jordan Ann Kiyomura	2–6, 2–6
