Rank	Country	Highest point	Height (m)	Height (ft)
14	Albania	Mount Korab	2764	9068
10	Andorra	Coma Pedrosa	2942	9652
NA	Armenia	Mount Aragats	4090	13419
7	Austria	Großglockner	3798	12461
6	Azerbaijan	Bazardüzü	4466	14652
39	Belarus	Dzyarzhynskaya Hara	345	1132
36	Belgium	Signal de Botrange	694	2277
23	Bosnia and Herzegovina	Maglić	2386	7828
11	Bulgaria	Musala	2925	9596
29	Croatia	Dinara	1831	6007
30	Czech Republic	Sněžka	1602	5256
45	Denmark	Møllehøj	171	561
41	Estonia	Suur Munamägi	318	1043
32	Finland	Halti	1324	4344
3	France	Mont Blanc	4810.45	15782
2	Georgia	Shkhara	5201	17064
9	Germany	Zugspitze	2962	9718
12	Greece	Mount Olympus	2919	9577
34	Hungary	Kékes	1014	3327
25	Iceland	Hvannadalshnúkur	2110	6923
33	Ireland	Carrauntoohil	1041	3415
3	Italy	Mont Blanc	4810.45	15782
16	Kosovo	Djeravica	2656	8714
42	Latvia	Gaizinkalns	313	1027
18	Liechtenstein	Vorder Grauspitz	2599	8527
43	Lithuania	Aukštojas Hill	294	965
37	Luxembourg	Kneiff	560	1837
14	Macedonia	Mount Korab	2764	9068
44	Malta	Ta' Dmejrek	253	830
38	Moldova	Bălăneşti	430	1411
46	Monaco	Chemin des Révoires	163	535
20	Montenegro	Zla Kolata	2534	8314
40	Netherlands	Vaalserberg	321	1053
22	Norway	Galdhøpiggen	2469	8100
21	Poland	Mount Rysy	2499	8199
24	Portugal	Mount Pico	2351	7713
19	Romania	Moldoveanu Peak	2544	8346
1	Russia	Mount Elbrus	5642	18510
35	San Marino	Monte Titano	749	2457
16	Serbia	Midžor	2169	7116
17	Slovakia	Gerlachovský štít	2655	8711
13	Slovenia	Triglav	2864	9396
8	Spain	Mulhacén	3479	11414
26	Sweden	Kebnekaise	2104	6903
5	Switzerland	Monte Rosa	4634	15203
27	Ukraine	Hoverla	2061	6762
31	United Kingdom	Ben Nevis	1344	4409
47	Vatican City	unnamed location	75	246
NA	Kazakhstan	Khan Tangiri Shyngy (Pik Khan-Tengri)	7010	22999
NA	Spain	Teide	3718	12198
NA	Turkey	Mount Ararat (Ağrı Dağı)	5137	16854
