Year	Population (Total)	(Caboolture)	(Pine Rivers)	(Redcliffe)
1933	11,928	5,316	4,604	2,008
1947	19,402	5,716	4,815	8,871
1954	27,267	7,101	6,309	13,857
1961	39,312	8,877	8,761	21,674
1966	50,785	10,149	13,309	27,327
1971	72,955	12,207	26,187	34,561
1976	103,669	19,404	45,192	39,073
1981	133,056	32,644	58,189	42,223
1986	166,210	47,494	73,783	44,933
1991	205,743	70,052	87,892	47,799
1996	250,077	98,859	103,192	48,026
2001	280,765	112,458	119,236	49,071
2005	325,067	123,129	137,018	64,921
2007	344,878	130,633	145,368	68,877
2009	371,155	140,586	156,444	74,125
2011	389,684	147,604	164,254	77,826
