Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Columbus	1 – 4	St. Louis	Leclaire	12,307	7–19–0
December 8	NY Islanders	3 – 4	Columbus	Leclaire	15,728	8–19–0
December 9	Columbus	2 – 5	Atlanta	Leclaire	14,260	8–20–0
December 11	New Jersey	2 – 3	Columbus	Denis	17,157	9–20–0
December 13	Philadelphia	3 – 1	Columbus	Denis	16,263	9–21–0
December 15	Columbus	1 – 2	Carolina	Leclaire	11,069	9–22–0
December 17	Columbus	3 – 7	Nashville	Denis	16,020	9–23–0
December 20	Columbus	3 – 4	Detroit	Leclaire	20,066	9–23–1
December 21	Dallas	5 – 3	Columbus	Leclaire	16,859	9–24–1
December 23	Nashville	5 – 4	Columbus	Denis	16,330	9–25–1
December 26	Chicago	3 – 4	Columbus	Denis	17,441	10–25–1
December 28	Anaheim	0 – 1	Columbus	Denis	17,387	11–25–1
December 30	Columbus	3 – 2	Chicago	Denis	13,229	12–25–1
December 31	Columbus	2 – 5	Detroit	Denis	20,066	12–26–1
