Week 1	Week 2	Week 6	Week 9	Week 12
Einari Maria	Henri Einari	Farbod Piia	Farbod Suvi	Jarkko Suvi
Henri Maxine	Henri Satu	Niko Maxine	Tiina H Farbod	Sauli Riitta
Not in house	Not in house	Maxine Piia	Tiina H Piia	Jarkko Suvi
Not in house	Not in house	Not in house	Not in house	Suvi Jarkko
Maria Einari	Henri Einari	Tiina H Farbod	Tiina H Piia	Riitta Suvi
Not in house	Not in house	Niko Maxine	Piia Farbod	Riitta Niko
Not in house	Not in house	Maxine Piia	Tiina H Sauli	Evicted (Day 76)
Maria Maxine	Satu Einari	Suvi Niko	Kadi Tiina H	Evicted (Day 69)
Not in house	Not in house	Farbod Kadi	Farbod Kadi	Evicted (Day 62)
Maria Einari	Einari Kadi	Kadi Piia	Evicted (Day 55)	Evicted (Day 55)
Not in house	Not in house	Not in house	Walked (Day 49)	Walked (Day 49)
Not in house	Not in house	Kadi Tiina H	Evicted (Day 48)	Evicted (Day 48)
Maria Kadi	Henri Satu	Niko Kadi	Evicted (Day 41)	Evicted (Day 41)
Not in house	Not in house	Evicted (Day 34)	Evicted (Day 34)	Evicted (Day 34)
Maria Maxine	Henri Satu	Ejected (Day 32)	Ejected (Day 32)	Ejected (Day 32)
Maria Satu	Kadi Einari	Evicted (Day 27)	Evicted (Day 27)	Evicted (Day 27)
Einari Maria	Einari Henri	Evicted (Day 20)	Evicted (Day 20)	Evicted (Day 20)
Maria Sauli	Henri Timo	Evicted (Day 13)	Evicted (Day 13)	Evicted (Day 13)
Satu Jarkko	Piia Jarkko	Walked (Day 11)	Walked (Day 11)	Walked (Day 11)
Satu Kadi	Evicted (Day 6)	Evicted (Day 6)	Evicted (Day 6)	Evicted (Day 6)
None	None	Notes ,	None	None
Einari Maria	Einari Henri	Kadi Maxine Niko Timo	Farbod Tiina H	Jarkko Riitta Suvi
Maria ?% to save	Einari 0% to evict	Maxine -9% to evict	Tiina H -19% to evict	Suvi -7% to evict
