Date	Visitor	Score	Home	Attendance	Record	Points
December 1	Detroit	2–4	Pittsburgh	7,083	9–14–2	20
December 4	NY Rangers	2–4	Pittsburgh	9,662	10–14–2	22
December 5	Pittsburgh	3–5	Boston	14,995	10–15–2	22
December 8	California	1–1	Pittsburgh	8,831	10–15–3	23
December 11	Buffalo	3–3	Pittsburgh	7,603	10–15–4	24
December 12	Pittsburgh	1–6	NY Rangers	17,250	10–16–4	24
December 15	Pittsburgh	2–3	Toronto	16,324	10–17–4	24
December 18	Boston	4–3	Pittsburgh	11,837	10–18–4	24
December 19	Pittsburgh	2–2	Boston	14,995	10–18–5	25
December 22	Pittsburgh	2–4	NY Rangers	17,250	10–19–5	25
December 25	Montreal	2–4	Pittsburgh	7,778	11–19–5	27
December 26	Pittsburgh	1–6	Philadelphia	14,626	11–20–5	27
December 28	Toronto	4–2	Pittsburgh	11,158	11–21–5	27
December 31	Buffalo	3–3	Pittsburgh	7,908	11–21–6	28
