No. in Series	No. in Season	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
40	1	"Glass Houses"	Tucker Gates	Molly Newman & David Marshall Grant	September28,2008	12.35
41	2	"Book Burning"	Laura Innes	Sherri Cooper & Jennifer Levin	October5,2008	10.62
42	3	"Tug of War"	Gloria Muzio	Josh Reims & Liz Tigelaar	October12,2008	10.09
43	4	"Everything Must Go"	Michael Schultz	Nancy Won & Michael Foley	October19,2008	10.03
44	5	"You Get What You Need"	Chad Lowe	David Marshall Grant & Cliff Olin	October26,2008	10.11
45	6	"Bakersfield"	Gloria Muzio	Molly Newman & Peter Calloway	November2,2008	9.72
46	7	"Do You Believe in Magic"	Michael Morris	Sherri Cooper-Landsman & Jennifer Levin	November9,2008	10.23
47	8	"Going Once...Going Twice"	Karen Gaviola	Brian Studler & Beth Schwartz	November16,2008	10.07
48	9	"Unfinished Business"	Michael Morris	Jason Wilborn & Nancy Won	November30,2008	10.19
49	10	"Just a Sliver"	Michael Schultz	Molly Newman & David Marshall Grant	December7,2008	10.66
50	11	"A Father Dreams"	Tom Amandes	Jennifer Levin & Michael Foley	January4,2009	9.16
51	12	"Sibling Rivalry"	Jeff Melman	Liz Tigelaar & Josh Reims	January11,2009	9.07
52	13	"It's Not Easy Being Green"	Laura Innes	Peter Calloway & Sherri Cooper	January18,2009	8.94
53	14	"Owning It"	Bethany Rooney	Cliff Olin & David Marshall Grant	February8,2009	9.33
54	15	"Lost & Found"	David Paymer	Michael Foley & Jennifer Levin	February15,2009	9.07
55	16	"Troubled Waters, Part One"	Ken Olin	Monica Owusu-Breen & Sherri Cooper-Landsman	March1,2009	11.93
56	17	"Troubled Waters, Part Two"	Ken Olin	David Marshall Grant & Molly Newman	March1,2009	11.93
57	18	"Taking Sides"	Michael Morris	Michael Foley & Beth Schwartz	March8,2009	10.50
58	19	"Spring Broken"	Richard Coad	Sherri Cooper-Landsman & Brian Studler	March15,2009	10.58
59	20	"Missing"	Michael Schultz	Jason Wilborn & Nancy Won	March22,2009	10.81
60	21	"S3X"	Laura Innes	Cliff Olin & David Marshall Grant	April19,2009	9.63
61	22	"Julia"	Michael Morris	Molly Newman & Michael Foley	April26,2009	9.63
62	23	"Let's Call The Whole Thing Off"	Laura Innes	Peter Calloway & Daniel Silk	May3,2009	9.22
