Dist.	Democratic Coalition	Alliance	Together We Can Do More	Independent Regional Force	Independents
1	Rolando Caviedes ( PDC )	Ximena Valcarce ( RN )	Juan Riveros ( PC )	Bernardo Olivos ( PAR )	Nino Baltolú
1	(R) Iván Paredes ( PS )	(R) Rosa González ( UDI )	Ricardo Pacheco ( PH )	Wanda Clemente (Ind.)	Nino Baltolú
2	Raúl Bagioli ( PDC )	Espártago Ferrari ( RN )	Pedro Cisterna ( PC )	Marta Isasi ( PAR )	none
2	(R) Fulvio Rossi ( PS )	Julio Lagos ( UDI )	Sara Chávez (Ind.)	Eduardo Alberto Prieto ( PAR )	none
3	(R) Waldo Mora ( PDC )	Raúl Salinas ( RN )	Daniel Ramírez ( PC )	Jorge Godoy (Ind.)	Esteban Velásquez
3	Marcos Espinosa ( PRSD )	Felipe Ward ( UDI )	Francisco Avendaño ( PH )	Miguel Urrelo (Ind.)	Esteban Velásquez
4	(R) Pedro Araya ( PDC )	Daniel Guevara (Ind.)	Luis Sagredo ( PC )	Raúl Zepeda (Ind.)	none
4	Hernán Rivera (Ind.)	(R) Manuel Rojas ( UDI )	Pedro Luque ( PH )	Rosa Pérez (Ind.)	none
5	Erick Villegas ( PDC )	René Aedo ( RN )	Gastón Quezada ( PC )	Jorge Cuello ( PAR )	Carlos Vilches
5	(R) Antonio Leal ( PPD )	Alberto Calvo ( UDI )	Carlos Toro ( PH )	Jorge Cuello ( PAR )	Carlos Vilches
6	(R) Jaime Mulet ( PDC )	Berta Torres ( RN )	Isabel Irribarren ( PC )	Cristián Tapia (Ind.)	none
6	(R) Alberto Robles ( PRSD )	José Luis Uriarte ( UDI )	Lorena Ortega ( PH )	Cristián Tapia (Ind.)	none
7	Ricardo Cifuentes ( PDC )	(R) Mario Bertolino ( RN )	Eric Campos ( PC )	none	none
7	Marcelo Díaz ( PS )	Francisco Eguiguren ( UDI )	Luis Vega ( PC )	none	none
8	(R) Patricio Walker ( PDC )	Alberto Gallardo ( RN )	Miguel Solís ( PC )	none	none
8	(R) Francisco Encina ( PS )	Fernando Cordero ( UDI )	Mario González ( PH )	none	none
9	Renán Fuentealba ( PDC )	Fernando Goncalves ( RN )	Julio Ugas ( PC )	none	Agapito Santander
9	(R) Adriana Muñoz ( PPD )	(R) Darío Molina ( UDI )	Rubén Ruiz ( PC )	none	Agapito Santander
10	(R) María Eugenia Mella ( PDC )	(R) Alfonso Vargas ( RN )	Daniel Jadué ( PC )	none	none
10	Marco Enríquez-Ominami ( PS )	Alfonso Ríos ( UDI )	Jaime Romero ( PH )	none	none
11	(R) Patricio Cornejo ( PDC )	Gaspar Rivas ( RN )	Mario Méndez ( PC )	none	none
11	Marco Núñez ( PPD )	(R) Marcelo Forni ( UDI )	Carlos Muñoz ( PH )	none	none
12	Humberto de la Maza ( PDC )	Amelia Herrera ( RN )	Danilo Ahumada ( PC )	none	none
12	(R) Juan Bustos ( PS )	Osvaldo Urrutia ( UDI )	Martín Ristempart ( PH )	none	none
