Member	Party	Electorate	State	First elected
Evan Adermann	Country	Fisher	Qld	1972
Rt Hon Doug Anthony	Country	Richmond	NSW	1957
John Armitage	ALP	Chifley	NSW	1961–1963, 1969
Alfred Ashley-Brown	ALP	Mitchell	NSW	1972
Lance Barnard	ALP	Bass	Tas	1954
Kim Beazley	ALP	Fremantle	WA	1945
Adrian Bennett	ALP	Swan	WA	1969
Joe Berinson	ALP	Perth	WA	1969
Fred Birrell	ALP	Port Adelaide	SA	1963
Robert Bonnett	Liberal	Herbert	Qld	1966
John Bourchier	Liberal	Bendigo	Vic	1972
Lionel Bowen	ALP	Kingsford-Smith	NSW	1969
Hon Nigel Bowen 1	Liberal	Parramatta	NSW	1964
Gordon Bryant	ALP	Wills	Vic	1955
Hon Leslie Bury	Liberal	Wentworth	NSW	1956
Dr Jim Cairns	ALP	Lalor	Vic	1955
Sam Calder	CLP	Northern Territory	NT	1966
Clyde Cameron	ALP	Hindmarsh	SA	1949
Donald Milner Cameron	Liberal	Griffith	Qld	1966
Dr Moss Cass	ALP	Maribyrnong	Vic	1969
Hon Don Chipp	Liberal	Hotham	Vic	1960
John Coates	ALP	Denison	Tas	1972
Barry Cohen	ALP	Robertson	NSW	1969
Fred Collard	ALP	Kalgoorlie	WA	1961
Rex Connor	ALP	Cunningham	NSW	1963
Marshall Cooke	Liberal	Petrie	Qld	1972
James Corbett	Country	Maranoa	Qld	1966
Jim Cope	ALP	Sydney	NSW	1955
Hon Sir John Cramer	Liberal	Bennelong	NSW	1949
Frank Crean	ALP	Melbourne Ports	Vic	1951
Manfred Cross	ALP	Brisbane	Qld	1961
Fred Daly	ALP	Grayndler	NSW	1943
Ron Davies	ALP	Braddon	Tas	1958
Frank Doyle	ALP	Lilley	Qld	1972
Peter Drummond	Liberal	Forrest	WA	1972
Nigel Drury	Liberal	Ryan	Qld	1949
Gilbert Duthie	ALP	Wilmot	Tas	1946
Dr Dr Harry Edwards	Liberal	Berowra	NSW	1972
Keppel Enderby	ALP	Canberra	ACT	1970
John England	Country	Calare	NSW	1960
Hon Dudley Erwin	Liberal	Ballaarat	Vic	1955
Dr Doug Everingham	ALP	Capricornia	Qld	1967
Hon David Fairbairn	Liberal	Farrer	NSW	1949
Peter Fisher	Country	Mallee	Vic	1972
John FitzPatrick	ALP	Darling	NSW	1969
Hon Dr Jim Forbes	Liberal	Barker	SA	1956
Max Fox	Liberal	Henty	Vic	1955
Hon Malcolm Fraser	Liberal	Wannon	Vic	1955
Bill Fulton	ALP	Leichhardt	Qld	1958
Hon Victor Garland	Liberal	Curtin	WA	1969
Horrie Garrick	ALP	Batman	Vic	1969
Geoff Giles	Liberal	Angas	SA	1964
Rt Hon John Gorton	Liberal	Higgins	Vic	1968
Bill Graham	Liberal	North Sydney	NSW	1949–1954, 1955–1958, 1966
Al Grassby	ALP	Riverina	NSW	1969
Dr Richard Gun	ALP	Kingston	SA	1969
John Hallett	Country	Canning	WA	1963
David Hamer	Liberal	Isaacs	SA	1969
Brendan Hansen	ALP	Wide Bay	Qld	1961
Bill Hayden	ALP	Oxley	Qld	1961
Arthur Hewson	Country	McMillan	Vic	1972
Hon Mac Holten	Country	Indi	Vic	1958
Hon Ralph Hunt	Country	Gwydir	NSW	1969
Chris Hurford	ALP	Adelaide	SA	1969
Ted Innes	ALP	Melbourne	Vic	1972
Ralph Jacobi	ALP	Hawker	SA	1969
Bert James	ALP	Hunter	NSW	1960
Alan Jarman	Liberal	Deakin	Vic	1966
Dr Harry Jenkins	ALP	Scullin	Vic	1969
Keith Johnson	ALP	Burke	Vic	1969
Les Johnson	ALP	Hughes	NSW	1955–1966, 1969
Charles Jones	ALP	Newcastle	NSW	1958
Hon Bob Katter	Country	Kennedy	Qld	1966
Paul Keating	ALP	Blaxland	NSW	1969
Hon Bert Kelly	Liberal	Wakefield	SA	1969
Len Keogh	ALP	Bowman	Qld	1969
John Kerin	ALP	Macarthur	NSW	1972
Hon Jim Killen	Liberal	Moreton	Qld	1955
Hon Bob King	Country	Wimmera	Vic	1958
Dr Richard Klugman	ALP	Prospect	NSW	1969
Tony Lamb	ALP	La Trobe	Vic	1972
Bruce Lloyd	Country	Murray	Vic	1971
Tony Luchetti	ALP	Macquarie	NSW	1951
Philip Lucock	Country	Lyne	NSW	1953
Hon Phillip Lynch	Liberal	Flinders	Vic	1966
Michael MacKellar	Liberal	Warringah	NSW	1969
Donald Maisey	Country	Moore	WA	1963
Vince Martin	ALP	Banks	NSW	1969
Race Mathews	ALP	Casey	Vic	1972
David McKenzie	ALP	Diamond Valley	Vic	1972
Hon John McLeay	Liberal	Boothby	SA	1966
Rt Hon William McMahon	Liberal	Lowe	NSW	1949
Tom McVeigh	Country	Darling Downs	Qld	1972
Peter Morris	ALP	Shortland	NSW	1972
Bill Morrison	ALP	St George	NSW	1969
Allan Mulder	ALP	Evans	NSW	1972
Martin Nicholls	ALP	Bonython	SA	1963
Hon Peter Nixon	Country	Gippsland	Vic	1961
Frank O'Keefe	Country	Paterson	NSW	1969
Max Oldmeadow	ALP	Holt	Vic	1972
Frank Olley	ALP	Hume	NSW	1972
Dr Rex Patterson	ALP	Dawson	Qld	1966
Hon Andrew Peacock	Liberal	Kooyong	Vic	1966
Leonard Reynolds	ALP	Barton	NSW	1958–1966, 1969
Joseph Riordan	ALP	Phillip	NSW	1972
Eric Robinson	Liberal	McPherson	Qld	1972
Hon Ian Robinson	Country	Cowper	NSW	1963
Philip Ruddock 1	Liberal	Parramatta	NSW	1973
Gordon Scholes	ALP	Corio	Vic	1967
Ray Sherry	ALP	Franklin	Tas	1969
Rt Hon Ian Sinclair	Country	New England	NSW	1963
Rt Hon Billy Snedden	Liberal	Bruce	Vic	1955
Tony Staley	Liberal	Chisholm	Vic	1970
Hon Frank Stewart	ALP	Lang	NSW	1953
Hon Tony Street	Liberal	Corangamite	Vic	1966
Ray Thorburn	ALP	Cook	NSW	1972
Harry Turner	Liberal	Bradfield	NSW	1952
Hon Tom Uren	ALP	Reid	NSW	1958
Ian Viner	Liberal	Stirling	WA	1972
Laurie Wallis	ALP	Grey	SA	1969
Hon William Wentworth	Liberal	Mackellar	NSW	1949
Bob Whan	ALP	Eden-Monaro	NSW	1972
Gough Whitlam	ALP	Werriwa	NSW	1952
Ray Whittorn	Liberal	Balaclava	Vic	1960
Ralph Willis	ALP	Gellibrand	Vic	1972
Ian Wilson	Liberal	Sturt	SA	1966–1969, 1972
