Name	Latitude	Longitude	Diameter (km)	Year named	Name origin
Aibarchin Planitia	73.0S	25.0E	1,200.0	1997	Uzbek "Alpamysh" epic tale heroine.
Aino Planitia	40.5S	94.5E	4,985.0	1982	Finnish heroine who became water spirit.
Akhtamar Planitia	27.0N	65.0E	2,700.0	1997	Armenian epic heroine.
Alma-Merghen Planitia	76.0S	100.0E	1,500.0	1997	Mongol/Tibet/Buryat "Gheser" epic tale heroine.
Atalanta Planitia	45.6N	165.8E	2,050.0	1982	Greek mythical heroine.
Audra Planitia	59.8N	92.3E	1,860.0	1991	Lithuanian sea mistress.
Bereghinya Planitia	28.6N	23.6E	3,900.0	1985	Slavic water spirit.
Ganiki Planitia	40.0N	202.0E	5,160.0	1985	Orochian (Siberia) water spirit, mermaid.
Guinevere Planitia	21.9N	325.0E	7,520.0	1982	British, wife of Arthur.
Helen Planitia	51.7S	263.9E	4,360.0	1982	Greek; "the face that launched 1000 ships."
Imapinua Planitia	60.0S	142.0E	2,100.0	1997	E. Greenland Eskimo sea mistress.
Laimdota Planitia	58.0S	117.0E	1,800.0	1997	Latvian myth heroine.
Lavinia Planitia	47.3S	347.5E	2,820.0	1982	Roman; wife of Aeneas.
Leda Planitia	44.0N	65.1E	2,890.0	1982	Mother of Helen, Castor.
Libuše Planitia	60.0N	290.0E	1,200.0	1997	Czech tales heroine, wiser of three sisters.
Llorona Planitia	18.0N	145.0E	2,600.0	1997	Mexican/Spanish folktale heroine.
Louhi Planitia	80.5N	120.5E	2,440.0	1985	Karelo-Finn mother of the North.
Mugazo Planitia	69.0S	60.0E	1,500.0	1997	Vietnamese tale heroine.
Navka Planitia	8.1S	317.6E	2,100.0	1982	East-Slavic mermaid.
Nsomeka Planitia	53.0S	195.0E	2,100.0	1994	Bantu culture heroine.
Rusalka Planitia	9.8N	170.1E	3,655.0	1982	Russian mermaid.
Sedna Planitia	42.7N	340.7E	3,570.0	1982	Eskimo; her fingers became seals and whales.
Tahmina Planitia	23.0S	80.0E	3,000.0	1997	Iranian epic heroine, wife of knight Rustam.
Tilli-Hanum Planitia	54.0N	120.0E	2,300.0	1997	Azeri "Ker-ogly" epic tale heroine.
Tinatin Planitia	15.0S	15.0E	0.0	1994	Georgian epic heroine.
Undine Planitia	13.0N	303.0E	2,800.0	1997	Lithuanian water nymph, mermaid.
Vellamo Planitia	45.4N	149.1E	2,155.0	1985	Karelo-Finn mermaid.
