Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Ulf Dahlen	RW	Sweden	Ostersund (Sweden)
2	Mike Richter	G	United States	Northwood Prep (New York)
3	Sam Lindstahl	G	Sweden	Sodertalje SK ( Allsvenskan )
4	Pat Janostin	D	Canada	Notre Dame H.S. (Sask.)
5	Brad Stepan	LW	Canada	St. Paul Suburban H.S. (Minnesota)
6	Brian McReynolds	C	Canada	Orillia Travelways ( OHA-A )
7	Neil Pilon	D	Canada	Kamloops Blazers ( WHL )
8	Larry Bernard	LW	Canada	Seattle Breakers (WHL)
9	Stephane Brochu	D	Canada	Quebec Remparts ( QMJHL )
10	Steve Nemeth	RW	Canada	Lethbridge Broncos (WHL)
11	Robert Burakovsky	RW	Sweden	Leksands IF (Allsvenskan)
12	Rudy Poeschek	D	Canada	Kamloops Blazers (WHL)
