Series #	Season #	Title	Directed by	Written by	Original air date
92	1	"Day For Knight"	Christopher Chulack	Lydia Woodward	September24,1998
93	2	"Split Second"	Christopher Misiano	Carol Flint	October1,1998
94	3	"They Treat Horses, Don't They?"	TR Babu Subramaniam	Walon Green	October8,1998
95	4	"Vanishing Act"	Lesli Linka Glatter	Jack Orman	October15,1998
97	6	"Stuck on You"	David Nutter	Teleplay: Neal Baer Story: Neal Baer & Linda Gase	November5,1998
99	8	"The Good Fight"	Christopher Chulack	Jack Orman	November19,1998
100	9	"Good Luck, Ruth Johnson"	Rod Holcomb	Lydia Woodward	December10,1998
101	10	"The Miracle Worker"	Lesli Linka Glatter	Paul Manning	December17,1998
102	11	"Nobody Doesn't Like Amanda Lee"	Richard Thorpe	Linda Gase	January7,1999
103	12	"Double Blind"	Dave Chameides	Carol Flint	January21,1999
104	13	"Choosing Joi"	Christopher Chulack	Lydia Woodward	February4,1999
105	14	"The Storm: Part I"	John Wells	John Wells	February11,1999
106	15	"The Storm: Part II"	Christopher Chulack	John Wells	February18,1999
107	16	"Middle of Nowhere"	Jonathan Kaplan	Carol Flint & Neal Baer	February25,1999
108	17	"Sticks and Stones"	Félix Enríquez Alcalá	Joe Sachs	March25,1999
109	18	"Point of Origin"	Christopher Misiano	Christopher Mack	April8,1999
110	19	"Rites of Spring"	Jonathan Kaplan	David Mills	April29,1999
111	20	"Power"	Laura Innes	Carol Flint	May6,1999
112	21	"Responsible Parties"	Christopher Chulack	Jack Orman	May13,1999
