Shirt No	Player	Birth Date	Weight	Height
1	Rafael Pascual	16 March 1970	94	194
2	Ibán Pérez	13 November 1983	89	198
3	José Luis Lobato	19 February 1977	81	186
4	Manuel Sevillano	2 July 1981	90	194
7	Guillermo Hernán	25 July 1982	68	181
10	Miguel Ángel Falasca	29 April 1973	92	195
11	Javier Subiela	22 March 1984	88	198
12	Guillermo Falasca	24 October 1977	104	200
14	José Luis Moltó	29 June 1975	95	207
16	Julián García-Torres	8 November 1980	93	202
17	Enrique de la Fuente	11 August 1975	95	195
18	Israel Rodríguez	27 August 1981	95	195
