Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2008	Formula Renault 2.0 NEC	Van Amersfoort Racing	15	0	0	0	0	120	12th
2008	Formula Renault 2.0 Italy	Van Amersfoort Racing	10	0	0	0	0	37	18th
2009	Formula Renault 2.0 Eurocup	MP Motorsport	10	0	0	0	0	5	23rd
2009	Formula Renault 2.0 NEC	MP Motorsport	6	0	0	0	0	77	18th
2010	GP3 Series	RSC Mücke Motorsport	16	0	2	0	0	5	23rd
2011	GP3 Series	RSC Mücke Motorsport	16	1	0	2	5	38	3rd
2011	Formula 3 Euro Series	Mücke Motorsport	24	4	2	2	9	251	4th
2011	GP2 Final	DAMS	2	0	0	0	0	0	20th
2012	GP2 Series	Ocean Racing Technology	24	0	0	0	0	25	19th
2012	Formula Renault 3.5 Series	Lotus	2	0	0	0	1	15	19th
