Date	Visitor	Score	Home	Record
October 8	Chicago Black Hawks	0–3	Montreal Canadiens	0–1–0
October 10	Chicago Black Hawks	2–6	Toronto Maple Leafs	0–2–0
October 11	New York Rangers	5–3	Chicago Black Hawks	0–3–0
October 16	Detroit Red Wings	2–2	Chicago Black Hawks	0–3–1
October 17	Chicago Black Hawks	1–2	Detroit Red Wings	0–4–1
October 18	Toronto Maple Leafs	2–1	Chicago Black Hawks	0–5–1
October 22	Montreal Canadiens	3–2	Chicago Black Hawks	0–6–1
October 25	Boston Bruins	4–3	Chicago Black Hawks	0–7–1
October 28	Chicago Black Hawks	6–1	New York Rangers	1–7–1
October 31	Montreal Canadiens	0–1	Chicago Black Hawks	2–7–1
November 1	Boston Bruins	0–0	Chicago Black Hawks	2–7–2
November 4	Chicago Black Hawks	1–3	Toronto Maple Leafs	2–8–2
November 5	Chicago Black Hawks	2–4	Boston Bruins	2–9–2
November 7	New York Rangers	3–1	Chicago Black Hawks	2–10–2
November 8	Toronto Maple Leafs	2–1	Chicago Black Hawks	2–11–2
November 11	Chicago Black Hawks	2–3	New York Rangers	2–12–2
November 12	Chicago Black Hawks	2–4	Montreal Canadiens	2–13–2
November 14	Chicago Black Hawks	3–2	Montreal Canadiens	3–13–2
November 15	Montreal Canadiens	2–2	Chicago Black Hawks	3–13–3
November 18	Chicago Black Hawks	1–3	New York Rangers	3–14–3
November 20	Boston Bruins	2–0	Chicago Black Hawks	3–15–3
November 22	Toronto Maple Leafs	5–1	Chicago Black Hawks	3–16–3
November 26	Montreal Canadiens	6–3	Chicago Black Hawks	3–17–3
November 28	Chicago Black Hawks	0–9	Detroit Red Wings	3–18–3
November 29	Detroit Red Wings	9–4	Chicago Black Hawks	3–19–3
December 2	Chicago Black Hawks	3–3	New York Rangers	3–19–4
December 3	Chicago Black Hawks	1–3	Boston Bruins	3–20–4
December 5	New York Rangers	1–2	Chicago Black Hawks	4–20–4
December 6	Chicago Black Hawks	5–0	Detroit Red Wings	5–20–4
December 10	Chicago Black Hawks	3–5	Montreal Canadiens	5–21–4
December 12	Chicago Black Hawks	0–2	Toronto Maple Leafs	5–22–4
December 13	Boston Bruins	2–2	Chicago Black Hawks	5–22–5
December 17	Chicago Black Hawks	1–5	Detroit Red Wings	5–23–5
December 18	Detroit Red Wings	5–3	Chicago Black Hawks	5–24–5
December 20	Toronto Maple Leafs	1–4	Chicago Black Hawks	6–24–5
December 25	Chicago Black Hawks	1–4	Boston Bruins	6–25–5
December 27	Chicago Black Hawks	4–1	New York Rangers	7–25–5
January 1	Detroit Red Wings	2–4	Chicago Black Hawks	8–25–5
January 2	Chicago Black Hawks	0–4	Toronto Maple Leafs	8–26–5
January 6	Chicago Black Hawks	3–4	New York Rangers	8–27–5
January 9	Chicago Black Hawks	1–12	Montreal Canadiens	8–28–5
January 10	Chicago Black Hawks	3–5	Boston Bruins	8–29–5
January 13	Chicago Black Hawks	1–2	Toronto Maple Leafs	8–30–5
January 14	New York Rangers	2–0	Chicago Black Hawks	8–31–5
January 17	Toronto Maple Leafs	3–1	Chicago Black Hawks	8–32–5
January 21	Boston Bruins	3–2	Chicago Black Hawks	8–33–5
January 23	Chicago Black Hawks	1–5	Montreal Canadiens	8–34–5
January 24	Montreal Canadiens	3–8	Chicago Black Hawks	9–34–5
January 28	Chicago Black Hawks	2–3	Boston Bruins	9–35–5
January 30	Chicago Black Hawks	2–4	Detroit Red Wings	9–36–5
January 31	Detroit Red Wings	5–1	Chicago Black Hawks	9–37–5
February 4	New York Rangers	3–2	Chicago Black Hawks	9–38–5
February 6	Chicago Black Hawks	0–6	Toronto Maple Leafs	9–39–5
February 7	Toronto Maple Leafs	1–2	Chicago Black Hawks	10–39–5
February 11	Montreal Canadiens	2–2	Chicago Black Hawks	10–39–6
February 14	Detroit Red Wings	5–0	Chicago Black Hawks	10–40–6
February 15	Chicago Black Hawks	2–3	Detroit Red Wings	10–41–6
February 19	New York Rangers	3–0	Chicago Black Hawks	10–42–6
February 21	Boston Bruins	4–3	Chicago Black Hawks	10–43–6
February 25	Detroit Red Wings	3–2	Chicago Black Hawks	10–44–6
February 27	Chicago Black Hawks	2–4	Toronto Maple Leafs	10–45–6
February 28	Toronto Maple Leafs	1–2	Chicago Black Hawks	11–45–6
March 5	New York Rangers	0–0	Chicago Black Hawks	11–45–7
March 7	Chicago Black Hawks	0–6	Boston Bruins	11–46–7
March 10	Chicago Black Hawks	2–4	New York Rangers	11–47–7
March 11	Chicago Black Hawks	2–6	Detroit Red Wings	11–48–7
March 13	Chicago Black Hawks	0–4	Montreal Canadiens	11–49–7
March 14	Montreal Canadiens	6–0	Chicago Black Hawks	11–50–7
March 19	Boston Bruins	0–7	Chicago Black Hawks	12–50–7
March 21	Chicago Black Hawks	5–9	Boston Bruins	12–51–7
