Township	County	Pop. (2010)	Land ( sqmi )	Water (sqmi)	Latitude	Longitude	GEO ID	ANSI code
Baden	Ward	35	34.753	0.940	48.588295	-102.048091	3810104140	1759673
Badger	LaMoure	52	35.789	0.305	46.319180	-98.463236	3804504180	1036889
Baer	Hettinger	26	32.258	0.085	46.241797	-102.054774	3804104220	1037238
Baker	Kidder	39	39.296	0.639	46.683058	-100.008913	3804304300	1759467
Baldwin	Barnes	33	35.480	0.776	47.200318	-97.892007	3800304340	1036436
Bale	Ransom	83	35.995	0.020	46.318753	-97.710796	3807304420	1036862
Balfour	McHenry	38	35.017	0.670	47.965278	-100.510672	3804904500	2397769
Ball Hill	Griggs	55	36.494	0.000	47.370002	-98.178896	3803904540	1036633
Balta	Pierce	20	33.954	1.729	48.145945	-100.030308	3806904620	2397770
Banner	Cavalier	29	29.072	0.829	48.580184	-98.785942	3801904660	1759350
Banner	Mountrail	34	35.789	0.032	47.883851	-102.054248	3806104700	1037017
Bantry	McHenry	36	35.700	0.086	48.509058	-100.592261	3804904780	2397771
Barnes	Cass	25	0.966	0.026	46.868649	-96.923421	3801704900	1036359
Barney	Richland	134	35.382	0.000	46.239252	-96.947979	3807704980	1036831
Barr Butte	Williams	11	35.684	0.127	48.583109	-103.852639	3810505020	1036922
Barrie	Richland	191	35.180	0.004	46.586143	-97.103449	3807705060	1036855
Bartlett	Ramsey	71	34.693	1.305	48.064990	-98.486913	3807105140	1759565
Bartley	Griggs	25	34.319	0.559	47.282086	-98.278087	3803905180	1036635
Bathgate	Pembina	72	26.515	0.000	48.858375	-97.491010	3806705300	1036727
Battleview	Burke	80	35.585	0.290	48.595501	-102.824470	3801305380	1037111
Beach	Golden Valley	157	104.911	0.097	46.892458	-103.954824	3803305460	1037079
Bear Creek	Dickey	183	30.007	0.105	46.156543	-98.054236	3802105500	1036764
Beaulieu	Pembina	155	35.955	0.081	48.754743	-97.893444	3806705580	1036733
Beaver	Benson	25	32.926	2.865	48.239213	-99.520142	3800505620	1759237
Beaver Creek	Steele	77	34.703	0.921	47.623288	-97.654565	3809105660	1036672
Beery	Hettinger	30	35.256	0.201	46.413697	-102.226445	3804105680	1759446
Beisigl	Adams	22	36.043	0.012	46.159684	-102.098148	3800105700	1759233
Belford	Richland	122	35.679	0.000	46.152958	-96.948315	3807705860	1036830
Bell	Cass	36	35.914	0.000	47.195265	-97.133704	3801705900	1036395
Belmont	Traill	76	25.009	0.000	47.622701	-96.915850	3809705940	1036699
Bentinck	Bottineau	25	35.708	0.248	48.850490	-101.168188	3800906020	1759266
Bentru	Grand Forks	77	17.599	0.130	47.708392	-96.948699	3803506100	1036584
Bergen	Nelson	39	35.321	0.576	47.708551	-98.322508	3806306220	1036560
Berlin	Cass	124	34.192	0.000	47.019309	-97.009609	3801706260	1036381
Berlin	Sheridan	42	34.492	1.557	47.709864	-100.123218	3808306340	1759629
Berlin	Wells	28	34.775	1.265	47.367093	-99.575078	3810306380	1037127
Berthold	Ward	76	35.862	0.272	48.330945	-101.717380	3810106500	1036946
Berwick	McHenry	57	36.078	0.246	48.333649	-100.291468	3804906580	1759483
Bethel	Towner	32	35.674	0.276	48.508175	-99.025178	3809506620	1759648
Bicker	Mountrail	36	35.789	0.131	48.510155	-102.801739	3806106700	1037199
Big Bend	Mountrail	33	31.422	5.114	47.883827	-102.583709	3806106800	1759550
Big Bend	Ransom	153	36.255	0.103	46.405746	-97.605490	3807306820	1036869
Big Meadow	Williams	27	34.888	1.005	48.583015	-103.101268	3810506860	1037009
Big Stone	Williams	31	35.712	0.158	48.582670	-103.331141	3810506900	1759720
Billings	Cavalier	13	28.209	0.269	48.579395	-98.517994	3801906940	1759351
Bilodeau	Wells	41	35.573	0.212	47.454060	-99.319948	3810306980	1759697
Bingham	Traill	70	30.044	0.048	47.541156	-96.912555	3809707060	1036698
Binghampton	Barnes	76	35.538	0.085	46.760700	-97.744686	3800307100	1036406
Birtsell	Foster	97	35.749	0.126	47.537051	-99.191835	3803107140	1759418
Bjornson	McHenry	42	35.393	0.279	47.896062	-100.894818	3804907300	1759484
Black Butte	Hettinger	41	35.795	0.000	46.499943	-102.613520	3804107380	1759447
Black Loam	LaMoure	44	35.959	0.067	46.493084	-98.107170	3804507420	1036895
Blacktail	Williams	62	35.833	0.237	48.414394	-103.730302	3810507460	1759721
Blackwater	McLean	27	35.344	0.122	47.628974	-101.751285	3805507500	1759527
Blaine	Bottineau	26	35.889	0.023	48.683439	-101.375325	3800907540	1759267
Blanchard	Traill	87	36.012	0.000	47.367463	-97.282684	3809707660	1036685
Bloom	Stutsman	554	33.776	0.573	46.942845	-98.618900	3809307740	1036469
Bloomenfield	Stutsman	34	34.280	1.742	46.747452	-99.279759	3809307780	1036463
Bloomfield	Traill	130	36.059	0.000	47.367479	-97.155083	3809707820	1036682
Blooming	Grand Forks	295	34.525	0.329	47.972550	-97.297617	3803507860	1036605
Blooming Prairie	Divide	50	42.168	1.102	48.945295	-103.395531	3802307900	1036928
Blooming Valley	Divide	47	35.564	0.528	48.851356	-103.135611	3802307940	1759387
Blue Butte	McKenzie	79	34.495	1.183	47.886549	-102.953006	3805308020	1036961
Blue Hill	McLean	16	35.876	0.079	47.790088	-101.669787	3805508060	1759528
Blue Ridge	Williams	35	33.932	2.121	48.585864	-103.590163	3810508100	1037004
Bluebird	LaMoure	35	35.572	0.060	46.499580	-98.848322	3804507980	1036907
Bohnsack	Traill	55	35.057	0.000	47.281305	-97.133710	3809708140	1036681
Bonetraill	Williams	17	36.007	0.000	48.416393	-103.863340	3810508260	1759722
Boone	Sheridan	16	35.267	0.650	47.544779	-100.086317	3808308300	1037149
Border	Divide	22	35.219	0.818	48.756709	-102.994599	3802308340	1037008
Bordulac	Foster	75	34.028	1.876	47.362981	-98.936408	3803108420	1759419
Bowbells	Burke	42	35.114	0.350	48.756547	-102.207137	3801308540	2397777
Bowen	Sargent	67	35.712	0.000	46.153253	-97.695296	3808108620	1036806
Bowman	Bowman	257	34.235	0.081	46.155936	-103.444271	3801108740	1037225
Boyd	Burleigh	134	35.992	0.000	46.765077	-100.520928	3801508780	1759334
Boyesen	Bowman	23	35.820	0.109	46.079836	-103.304148	3801108820	1037227
Brampton	Sargent	59	36.381	0.053	45.986341	-97.830964	3808108980	1036788
Brandenburg	Richland	102	35.249	0.000	46.152860	-96.824503	3807709020	1036828
Brander	Bottineau	54	35.726	0.265	48.755867	-101.026977	3800909060	1759268
Brandon	Renville	72	34.743	0.130	48.747978	-101.570983	3807509100	1759599
Bremen	Wells	47	35.825	0.238	47.709329	-99.350957	3810309260	1759696
Brenna	Grand Forks	725	35.983	0.027	47.888770	-97.171507	3803509300	1036602
Brightwood	Richland	203	32.696	1.977	46.069255	-96.936548	3807709340	1036821
Brillian	Ward	57	36.200	0.012	47.980022	-101.034374	3810109380	1759674
Brimer	Barnes	59	35.524	0.452	47.015788	-98.393490	3800309420	1036433
Brittian	Hettinger	17	35.700	0.077	46.303491	-102.218605	3804109580	1759448
Broadlawn	Steele	41	35.250	0.062	47.279320	-97.508269	3809109620	1036657
Broadview	Griggs	38	33.916	1.469	47.281208	-98.012284	3803909660	1036629
Broe	Benson	35	35.497	0.546	48.146770	-99.641921	3800509740	1759238
Brookbank	Mountrail	34	35.908	0.012	48.158814	-102.500392	3806109780	1037114
Brooklyn	Williams	27	35.622	0.007	48.233917	-103.270596	3810509820	1037022
Brown	McHenry	80	35.217	0.206	47.980892	-100.896087	3804909860	1759485
Bruce	Cavalier	17	35.304	0.796	48.768683	-98.918404	3801909900	1759352
Bryan	Griggs	39	35.946	0.021	47.536605	-98.425381	3803909940	1036655
Bucephalia	Foster	43	35.428	0.659	47.377046	-98.824726	3803110020	1759420
Buchanan	Stutsman	99	33.901	1.971	47.014694	-98.775046	3809310100	1036483
Buckeye	Kidder	30	32.527	3.355	47.030261	-99.647098	3804310180	1037189
Bucklin	Slope	19	32.167	0.037	46.348091	-103.983039	3808710220	1037203
Bucyrus	Adams	27	35.579	0.000	46.075576	-102.808847	3800110340	1037244
Buena Vista	Bowman	21	30.565	0.000	46.242991	-103.057674	3801110380	1037257
Buffalo	Cass	82	35.896	0.047	46.938460	-97.481862	3801710460	1036377
Buford	Williams	74	33.795	1.681	48.003781	-103.920550	3810510540	1759723
Bull Butte	Williams	13	51.324	0.101	48.335541	-103.960814	3810510620	1759724
