Number (CMNH)	Number (PNM)	Date	Site	Altitude	Sex and other data
634	3475	–	3	app. 1,900 m (6,234ft)	Male
635	3476	–	3	app. 1,900 m (6,234ft)	Female
636	–	–	3	app. 1,900 m (6,234ft)	Female
637	3477	–	3	app. 1,900 m (6,234ft)	Male
639	–	–	3	app. 1,900 m (6,234ft)	Male
640	–	–	3	app. 1,900 m (6,234ft)	Male
641	3478	–	3	app. 1,900 m (6,234ft)	Male
642	–	May 28	2	app. 1,255 m (4,117ft)	Young male
643	3439	June 1	2	app. 1,255 m (4,117ft)	Adult female
644	–	June 4	1	app. 1,580 m (5,184ft)	Young male
645	–	June 7	1	app. 1,580 m (5,184ft)	Young male
646	–	June 7	1	app. 1,700 m (5,577ft)	Adult female
647	–	June 9	1	app. 1,700 m (5,577ft)	Young adult male
648	3480	June 10	1	app. 1,700 m (5,577ft)	Adult male
649	3481	June 11	1	app. 1,700 m (5,577ft)	Old male
650	3482	June 12	1	app. 1,580 m (5,184ft)	Adult male ( holotype )
