Region	Date	Label	Format	Catalog
Canada	November30,2004	Bertelsmann Music Group	Standard CD release	82876-64491-2
United States	November30,2004	RCA Records , 19 Recordings , S Records	Standard CD release	82876-64491-2
Australia	January3,2005	Bertelsmann Music Group	Standard CD release	82876-64491-2
Europe	January8,2005	Bertelsmann Music Group	Standard CD release	82876-70291-2
Japan	January26,2005	BMG Japan	Limited edition CD release	BVCP-24059
United Kingdom	July18,2005	RCA Records	Limited edition CD release	82876-69026-2
France	July18,2005	Jive Records	Limited edition CD release	82876-69026-2
China	September30,2005	Sony BMG Music Entertainment	Limited edition CD release	9787799420134
United States	November25,2005	RCA Records, 19 Recordings, S Records	Special edition CD+DVD reissue	82876-74553-2
Australia	November29,2005	Sony BMG Music Entertainment	Special edition CD+DVD reissue	82876-74553-2
Japan	December21,2005	BMG Japan	Special edition CD+DVD reissue	BVCP-28053
France	March 2, 2006	Jive Records	Limited edition CD reissue	82876-70291-2
