Pick	Player	Pos.	Nationality	Team	Previous team	NBA years [a ]	Career with the franchise [b ]
1	Sidney Green Category:Articles with hCards	F/C	United States	Orlando Magic	New York Knicks	6	1989–1990
2	Rick Mahorn Category:Articles with hCards	F/C	United States	Minnesota Timberwolves	Detroit Pistons	9	— [c ]
3	Reggie Theus Category:Articles with hCards +	G	United States	Orlando Magic	Atlanta Hawks	11	1989–1990
4	Tyrone Corbin Category:Articles with hCards	G/F	United States	Minnesota Timberwolves	Phoenix Suns	4	1989 – 1991
5	Terry Catledge Category:Articles with hCards	F	United States	Orlando Magic	Washington Bullets	4	1989 – 1993
6	Steve Johnson Category:Articles with hCards +	F/C	United States	Minnesota Timberwolves	Portland Trail Blazers	8	1989–1990
7	Sam Vincent Category:Articles with hCards	G	United States	Orlando Magic	Chicago Bulls	4	1989 – 1992
8	Brad Lohaus Category:Articles with hCards	F/C	United States	Minnesota Timberwolves	Sacramento Kings	2	1989–1990
9	Otis Smith Category:Articles with hCards	G/F	United States	Orlando Magic	Golden State Warriors	3	1989 – 1992
10	David Rivers Category:Articles with hCards	G	United States	Minnesota Timberwolves	Los Angeles Lakers	1	— [c ]
11	Scott Skiles Category:Articles with hCards	G	United States	Orlando Magic	Indiana Pacers	3	1989 – 1994
12	Mark Davis Category:Articles with hCards [A ]	G/F	United States	Minnesota Timberwolves	Milwaukee Bucks	1	— [c ]
13	Jerry Reynolds Category:Articles with hCards	G/F	United States	Orlando Magic	Seattle SuperSonics	4	1989 – 1992
14	Scott Roth Category:Articles with hCards	F	United States	Minnesota Timberwolves	San Antonio Spurs	2	1989–1990
15	Mark Acres Category:Articles with hCards	F/C	United States	Orlando Magic	Boston Celtics	2	1989 – 1992
16	Shelton Jones Category:Articles with hCards	F	United States	Minnesota Timberwolves	Philadelphia 76ers	1	— [c ]
17	Morlon Wiley Category:Articles with hCards	G	United States	Orlando Magic	Dallas Mavericks	1	1989 – 1991
18	Eric White Category:Articles with hCards	F	United States	Minnesota Timberwolves	Los Angeles Clippers	2	— [c ]
19	Jim Farmer Category:Articles with hCards	G	United States	Orlando Magic	Utah Jazz	2	— [c ]
20	Maurice Martin Category:Articles with hCards	G/F	United States	Minnesota Timberwolves	Denver Nuggets	2	— [c ]
21	Keith Lee Category:Articles with hCards	F/C	United States	Orlando Magic	New Jersey Nets	3	— [c ]
22	Gunther Behnke Category:Articles with hCards #	C	West Germany [e ]	Minnesota Timberwolves	Cleveland Cavaliers	0 [d ]	— [c ]
23	Frank Johnson Category:Articles with hCards	G	United States	Orlando Magic	Houston Rockets	8	— [c ]
