Season	Series	Team Name	Races	Poles	Wins	Podiums	F/Laps	Points	Final Placing
2008	Formula BMW Americas	Amir Nasr Racing	2	0	0	0	0	6	13th
2009	Formula 3 Sudamericana	Cesário Fórmula	17	1	1	7	1	81	3rd
2010	Toyota Racing Series	Giles Motorsport	12	0	1	3	1	536	8th
2010	British Formula Three	Carlin	30	0	0	1	0	45	13th
2010	GP3 Series	Carlin	10	0	0	1	0	7	19th
2010	Masters of Formula 3	Carlin	1	0	0	0	0	N/A	7th
2010	Formula Three Sudamericana	Cesário Fórmula	7	0	3	5	2	128	8th
2010	Macau Grand Prix	Fortec Motorsport	1	0	0	0	0	N/A	22nd
2011	Formula 3 Brazil Open	Cesário Fórmula	1	1	1	1	1	N/A	1st
2011	British Formula Three	Fortec Motorsport	30	1	3	7	2	170	7th
2011	Macau Grand Prix	Fortec Motorsport	1	0	0	0	0	N/A	7th
2011	Masters of Formula 3	Mucke Motorsport	1	0	0	0	0	N/A	8th
2012	Formula Renault 3.5 Series	DAMS	17	0	0	0	0	8	23rd
2012	Formula 3 Brazil Open	Cesário Fórmula	1	1	1	1	1	N/A	1st
