Place	Player	Country	Score	To Par	Money ( $ )
1	Billy Casper	United States	71-68-69-74=282	+2	12,000
2	Bob Rosburg	United States	75-70-67-71=283	+3	6,600
T3	Claude Harmon	United States	72-71-70-71=284	+4	3,600
T3	Mike Souchak	United States	71-70-72-71=284	+4	3,600
T5	Doug Ford	United States	72-69-72-73=286	+6	2,100
T5	Arnold Palmer	United States	71-69-72-74=286	+6	2,100
T5	Ernie Vossler	United States	72-70-72-72=286	+6	2,100
T8	Ben Hogan	United States	69-71-71-76=287	+7	1,350
T8	Sam Snead	United States	73-72-67-75=287	+7	1,350
10	Dick Knight	United States	69-75-73-73=290	+10	900
