Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1993	Juraj Brestovský	Ľuba Hanzušová	Juraj Brestovský Igor Novák	Ľuba Hanzušová Aurita Hirková	Peter Púdela Martina Švecová
1994	Juraj Brestovský	Ľuba Hanzušová	Róbert Cyprian Peter Púdela	Ľuba Hanzušová Daniela Tomášová	Peter Púdela Martina Švecová
1995	Igor Novák	Ľuba Hanzušová	Róbert Cyprian Peter Púdela	Katarína Pokorná Alexandra Felgrová	Peter Púdela Alexandra Felgrová
1996	Marián Šulko	Alexandra Felgrová	Juraj Brestovský Igor Novák	Radka Majorská Barbora Bobrovská	Jaroslav Heleš Katarína Pokorná
1997	Pavel Mečár	Kvetoslava Orlovská	Marián Šulko Marek Navrátil	Barbora Bobrovská Radka Majorská	Juraj Brestovský Zuzana Kenížová
1998	Pavel Mečár	Kvetoslava Orlovská	Pavel Mečár Jaroslav Marek	Kvetoslava Orlovská Gabriela Zabavníková	Pavel Mečár Barbora Bobrovská
1999	Marián Šulko	Kvetoslava Orlovská	Pavel Mečár Marián Šulko	Barbora Bobrovská Alexandra Felgrová	Pavel Mečár Barbora Bobrovská
2000	Marián Šulko	Gabriela Zabavníková	Marián Šulko Pavel Mečár	Kvetoslava Orlovská Gabriela Zabavníková	Pavel Mečár Barbora Bobrovská
2001	Marián Šulko	Gabriela Zabavníková	Marián Šulko Pavel Mečár	Barbora Bobrovská Eva Sládeková	Pavel Mečár Barbora Bobrovská
2002	Lukáš Klačanský	Kvetoslava Orlovská	Marián Šulko Pavel Mečár	Kvetoslava Orlovská Gabriela Zabavníková	Pavel Mečár Barbora Bobrovská
2003	Marián Šulko	Gabriela Zabavníková	Marián Šulko Pavel Mečár	Zuzana Orlovská Gabriela Zabavníková	Pavel Mečár Barbora Bobrovská
2004	Marián Šulko	Kvetoslava Orlovská	Marián Šulko Pavel Mečár	Barbora Bobrovská Eva Sládeková	Pavel Mečár Barbora Bobrovská
2005	Michal Matejka	Eva Sládeková	Marián Šulko Pavel Mečár	Alexandra Felgrová Kristína Ludíková	Pavel Mečár Barbora Bobrovská
2006	Marián Šulko	Kristína Ludíková	Michal Matejka Marián Šulko	Alexandra Felgrová Kristína Ludíková	Ladislav Tomčko Kvetoslava Orlovská
2007	Marián Šulko	Eva Sládeková	Vladimír Závada Marián Smrek	Kvetoslava Orlovská Zuzana Orlovská	Vladimír Turlík Gabriela Zabavníková
2008	Marián Šulko	Kvetoslava Orlovská	Vladimír Závada Marián Smrek	Júlia Turzáková Gabriela Zabavníková	Marián Smrek Kvetoslava Orlovská
2009	Michal Matejka	Monika Fašungová	Vladimír Závada Marián Smrek	Barbora Bobrovská Zuzana Orlovská	Vladimír Závada Zuzana Orlovská
2010	Michal Matejka	Ivana Kubíková	Marián Šulko Pavel Mečár	Barbora Bobrovská Zuzana Orlovská	Vladimír Závada Zuzana Orlovská
