Name	Diameter (km)	Perihelion (AU)	Aphelion (AU)	Year discovered	Discoverer(s)	Type
Sedna	995–1600	76.1	975.5	2003	Brown , Trujillo , Rabinowitz	detached (arxiv.org)
2004 XR190	335–850	52.3	61.8	2004	Lynne Jones et al.	detached
2004 VN112	130–300	47.3	614	2004	CTIO	detached
2005 TB 190	~500	46.2	106.5	2005	Becker, A. C. et al.	detached
2000 CR 105	~250	44.3	397	2000	Lowell Observatory	detached
2003 UY291	~150	41.2	57.1	2003	Pittichova, J. et al.	classical ?
2000 YW 134	~500	41.0	73.9	2000	Spacewatch	8:3
1995 TL 8	~350	40.0	64.5	1995	A. Gleason	detached
2010 KZ39	440–980	39.1	52.5	2010	A. Udalski et al.	detached or classical
2003 QK91	~180	38.4	98.5	2003	Elliot, J. et al.	detached
2003 FZ129	~150	38.0	85.6	2003	Mauna Kea	detached
2005 PQ 21	~200	37.6	87.6	2005	Cerro Tololo	detached
2006 QH181	~765	37.6	97.0	2006	CTIO	detached or 5:1 ?
2003 FY 128	~440	37.0	61.7	2003	N.E.A.T.	detached
2006 HX122	~290	36.4	102.6	2006	M. W. Buie	detached or 7:2 ?
