Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 12	Infiniti Tournament of Champions	California	Steve Elkington (3)	279 (–9)	144,000
Jan 19	Bob Hope Chrysler Classic	California	John Cook (4)	336 (–24)	198,000
Jan 26	Phoenix Open	Arizona	Mark Calcavecchia (7)	264 (–20)	180,000
Feb 2	AT&T Pebble Beach National Pro-Am	California	Mark O'Meara (8)	275 (–13)	198,000
Feb 9	United Airlines Hawaiian Open	Hawaii	John Cook (5)	265 (–23)	216,000
Feb 16	Northern Telecom Open	Arizona	Lee Janzen (1)	270 (–18)	198,000
Feb 23	Buick Invitational of California	California	Steve Pate (5)	200 (–16)	180,000
Mar 1	Nissan Los Angeles Open	California	Fred Couples (7)	269 (–15)	180,000
Mar 8	Doral-Ryder Open	Florida	Raymond Floyd (22)	271 (–17)	252,000
Mar 15	Honda Classic	Florida	Corey Pavin (10)	273 (–15)	198,000
Mar 22	Nestle Invitational	Florida	Fred Couples (8)	269 (–19)	180,000
Mar 29	The Players Championship	Florida	Davis Love III (4)	273 (–15)	324,000
Apr 5	Freeport-McMoRan Golf Classic	Louisiana	Chip Beck (4)	276 (–12)	180,000
Apr 12	Masters Tournament	Georgia	Fred Couples (9)	275 (–13)	270,000
Apr 19	MCI Heritage Golf Classic	South Carolina	Davis Love III (5)	269 (–15)	180,000
Apr 26	KMart Greater Greensboro Open	North Carolina	Davis Love III (6)	272 (–16)	225,000
May 3	Shell Houston Open	Texas	Fred Funk (1)	272 (–16)	216,000
May 10	BellSouth Classic	Georgia	Tom Kite (16)	272 (–16)	180,000
May 17	GTE Byron Nelson Golf Classic	Texas	Billy Ray Brown (2)	199 (–11)	198,000
May 24	Southwestern Bell Colonial	Texas	Bruce Lietzke (12)	267 (–13)	234,000
May 31	Kemper Open	Maryland	Bill Glasson (5)	276 (–8)	198,000
Jun 7	Memorial Tournament	Ohio	David Edwards (3)	273 (–15)	234,000
Jun 14	Federal Express St. Jude Classic	Tennessee	Jay Haas (8)	263 (–21)	198,000
Jun 21	U.S. Open	California	Tom Kite (17)	285 (–3)	275,000
Jun 28	Buick Classic	New York	David Frost (5)	268 (–16)	180,000
Jul 5	Centel Western Open	Illinois	Ben Crenshaw (16)	276 (–12)	198,000
Jul 12	Anheuser-Busch Golf Classic	Virginia	David Peoples (2)	271 (–13)	198,000
Jul 19	Chattanooga Classic	Tennessee	Mark Carnevale (1)	269 (–19)	144,000
Jul 19	British Open	Scotland	Nick Faldo (6)	272 (–12)	190,000
Jul 26	New England Classic	Massachusetts	Brad Faxon (2)	268 (–16)	180,000
Aug 2	Canon Greater Hartford Open	Connecticut	Lanny Wadkins (21)	274 (–6)	180,000
Aug 9	Buick Open	Michigan	Dan Forsman (4)	276 (–12)	180,000
Aug 16	PGA Championship	Missouri	Nick Price (4)	278 (–6)	280,000
Aug 23	The International	Colorado	Brad Faxon (3)	14 ( Stableford )	216,000
Aug 30	NEC World Series of Golf	Ohio	Craig Stadler (10)	273 (–7)	252,000
Sep 6	Greater Milwaukee Open	Wisconsin	Richard Zokol (1)	269 (–19)	180,000
Sep 13	Canadian Open	Canada	Greg Norman (11)	280 (–8)	180,000
Sep 20	Hardee's Golf Classic	Illinois	David Frost (6)	266 (–14)	180,000
Sep 27	B.C. Open	New York	John Daly (2)	266 (–14)	144,000
Oct 4	Buick Southern Open	Georgia	Gary Hallberg (3)	206 (–10)	126,000
Oct 11	Las Vegas Invitational	Nevada	John Cook (6)	334 (–26)	234,000
Oct 18	Walt Disney World/Oldsmobile Classic	Florida	John Huston (2)	262 (–26)	180,000
Oct 25	H.E.B. Texas Open	Texas	Nick Price (5)	263 (–25)	162,000
Nov 1	The Tour Championship	North Carolina	Paul Azinger (8)	276 (–8)	360,000
