Line Name	Date Closed	NIMT Junction	Terminus	Length
Auckland–Newmarket Line	Open	Quay Park Junction	Newmarket Junction	2.5km
North Auckland Line	Open	Westfield Junction	Otiria Junction	280km
Manukau Branch	Open	Wiri Junction	Manukau	2.5km
Mission Bush Branch	Open	Paerata Junction	Mission Bush	17km
Kimihia Branch	Open	Huntly North	Kimihia Mine	2.75km
Rotowaro Branch	Open	Huntly	Rotowaro	8.5km
Waipa Railway and Coal Co. line	19-5-1958	Ngaruawahia	Wilton Collieries	10.5km
East Coast Main Trunk Railway	Open	Frankton Junction	Kawerau	180km
Stratford–Okahukura Line	Mothballed 2009	Okahukura Junction	Stratford	144km
Raetihi Branch	1-1-1968	Ohakune Junction	Raetihi	13km
Marton–New Plymouth Line	Open	Marton Junction	Breakwater (New Plymouth)	212km
Taonui Branch	14-8-1895	Taonui	Colyton	3.5km
Palmerston North–Gisborne Line	Open	Roslyn Junction	Gisborne	391km
Foxton Branch	18-7-1959	Longburn Junction	Foxton	31km
Wairarapa Line	Open	Distant Junction (Wellington)	Woodville	170km
Johnsonville Branch	Open	Wellington Junction	Johnsonville	10km
Te Aro Branch	23-4-1917	Wellington (Lambton)	Te Aro	1.77km
