Species	Strain	Type	Base Pairs	Genes
Acinetobacter sp.	ADP1	Gammaproteobacteria	3,598,621	3,325
Baumannia cicadellinicola	Hc	Gammaproteobacteria	686,194	595
Blochmannia floridanus	Strain	Gammaproteobacteria	705,557	589
Blochmannia pennsylvanicus	bpEN	Gammaproteobacteria	791,654	610
Buchnera aphidicola	APS	Gammaproteobacteria	640,681	564
Buchnera aphidicola	B	Gammaproteobacteria	615,980	504
Buchnera aphidicola	Sg	Gammaproteobacteria	641,454	545
Carsonella ruddii	PV	Gammaproteobacteria	159,662	182
Chromohalobacter salexigens	DSM3043	Gammaproteobacteria	3,696,649	3,298
Colwellia psychrerythraea	34H	Gammaproteobacteria	5,373,180	4,910
Coxiella burnetii	RSA493	Gammaproteobacteria	1,995,281	2,016
Erwinia carotovora	SCRI1043	Gammaproteobacteria	5,064,019	4,492
Escherichia coli	536	Gammaproteobacteria	4,938,920	4,685
Escherichia coli	CFT073	Gammaproteobacteria	5,231,428	5,379
Escherichia coli	K-12	Gammaproteobacteria	4,639,675 (4,646,332)	4,331 (4,337)
Escherichia coli	O157:H7	Gammaproteobacteria	5,528,445 (5,498,450)	5,349 (5,361)
Escherichia coli	UTI89	Gammaproteobacteria	5,065,741	5,066
Francisella tularensis	LVS	Gammaproteobacteria	1,895,994	1,967
Francisella tularensis	SCHUS4	Gammaproteobacteria	1,892,819	1,804
Haemophilus ducreyi	3500HP	Gammaproteobacteria	1,698,955	1,717
Haemophilus influenzae	86-028NP	Gammaproteobacteria	1,913,428	1,792
Haemophilus influenzae	Rd	Gammaproteobacteria	1,830,138	1,709
Hahella chejuensis	KCTC2396	Gammaproteobacteria	7,215,267	6,782
Idiomarina loihiensis	L2TR	Gammaproteobacteria	2,839,318	2,628
Legionella pneumophila	Lens	Gammaproteobacteria	3,345,687	2,947
Legionella pneumophila	Paris	Gammaproteobacteria	3,503,610	3,082
Legionella pneumophila	Philadelphia1	Gammaproteobacteria	3,397,754	2,942
Mannheimia succiniciproducens	MBEL55E	Gammaproteobacteria	2,314,078	2,384
Methylococcus capsulatus	Bath	Gammaproteobacteria	3,304,561	2,960
Nitrosococcus oceani	ATCC19707	Gammaproteobacteria	3,481,691	2,976
Pasteurella multocida	Pm70	Gammaproteobacteria	2,257,487	2,014
Photobacterium profundum	SS9	Gammaproteobacteria	4,085,304	3,416
Unspecified	Unspecified	Gammaproteobacteria	2,237,943	1,997
Photorhabdus luminescens	laumondiiTTO1	Gammaproteobacteria	5,688,987	4,905
Pseudoalteromonas haloplanktis	TAC125	Gammaproteobacteria	3,214,944	2,941
Unspecified	Unspecified	Gammaproteobacteria	635,328	546
Pseudomonas aeruginosa	PAO1	Gammaproteobacteria	6,264,403	5,566
Pseudomonas entomophila	L48	Gammaproteobacteria	5,888,780	5,168
Pseudomonas fluorescens	Pf-5	Gammaproteobacteria	7,074,893	6,137
Pseudomonas fluorescens	PfO-1	Gammaproteobacteria	6,438,405	5,736
Pseudomonas putida	KT2440	Gammaproteobacteria	6,181,863	5,350
Pseudomonas syringae	B728a	Gammaproteobacteria	6,093,698	5,136
Pseudomonas syringae	DC3000	Gammaproteobacteria	6,397,126	5,470
Pseudomonas syringae	phaseolicola1448A	Gammaproteobacteria	5,928,787	4,983
Psychrobacter arcticum	273-4	Gammaproteobacteria	2,650,701	2,147
Psychrobacter cryohalolentis	K5	Gammaproteobacteria	~3.1Mb	2,575
Unspecified	Unspecified	Gammaproteobacteria	3,059,876	2,467
Saccharophagus degradans	Feb-40	Gammaproteobacteria	5,057,531	4,008
Salmonella enterica	ATCC9150	Gammaproteobacteria	4,585,229	4,093
Salmonella enterica	SCB67	Gammaproteobacteria	4,755,700	4,445
Salmonella enterica	Ty2	Gammaproteobacteria	4,791,961	4,323
Salmonella enterica	typhiCT18	Gammaproteobacteria	4,809,037	4,600
Salmonella typhimurium	LT2	Gammaproteobacteria	4,857,432	4,452
Shewanella denitrificans	OS217	Gammaproteobacteria	4,545,906	3,754
Shewanella oneidensis	MR1	Gammaproteobacteria	4,969,803	4,630
Shigella boydii	Sb227	Gammaproteobacteria	4,519,823	4,142
Shigella dysenteriae	Sd197	Gammaproteobacteria	4,369,232	4,277
Shigella flexneri	2457T	Gammaproteobacteria	4,599,354	4,073
Shigella flexneri	2a301	Gammaproteobacteria	4,607,203	4,436
Shigella sonnei	Ss046	Gammaproteobacteria	4,825,265	4,224
Sodalis glossinidius	morsitans	Gammaproteobacteria	4,171,146	2,432
Thiomicrospira crunogena	XCL2	Gammaproteobacteria	2,427,734	2,192
Vibrio cholerae	N16961	Gammaproteobacteria	2,961,149 (chromosome I) 1,072,315 (chromosome II)	2,736 (chromosome I) 1,092 (chromosome II)
Vibrio fischeri	ES114	Gammaproteobacteria	2,906,179 (chromosome I) 1,332,022 (chromosome II)	2,575 (chromosome I) 1,172 (chromosome II)
Vibrio parahaemolyticus	RIMD2210633	Gammaproteobacteria	3,288,558 (chromosome I) 1,877,212 (chromosome II)	3,080 (chromosome I) 1,752 (chromosome II)
Vibrio vulnificus	CMCP6	Gammaproteobacteria	3,281,944 (chromosome I) 1,844,853 (chromosome II)	2,973 (chromosome I) 1,565 (chromosome II)
Vibrio vulnificus	YJ016	Gammaproteobacteria	3,354,505 (chromosome I) 1,857,073 (chromosome II)	3,262 (chromosome I) 1,697 (chromosome II)
Wigglesworthia glossinidia	Strain	Gammaproteobacteria	697,724	611
Xanthomonas axonopodis	citri306	Gammaproteobacteria	5,175,554	4,312
Xanthomonas campestris	8004	Gammaproteobacteria	5,148,708	4,273
Xanthomonas campestris	8510	Gammaproteobacteria	5,178,466	4,487
Xanthomonas campestris	ATCC33913	Gammaproteobacteria	5,076,188	4,181
Xanthomonas oryzae	KACC10331	Gammaproteobacteria	4,941,439	4,637
Xanthomonas oryzae	MAFF311018	Gammaproteobacteria	4,940,217	4,372
