Place	Player	Country	Score	To par
T1	Chris Riley	United States	66	–6
T1	Lucas Glover	United States	66	–6
3	Billy Andrade	United States	67	–5
T4	Robert Allenby	Australia	68	–4
T4	Stewart Cink	United States	68	–4
T4	Luke Donald	England	68	–4
T4	J. J. Henry	United States	68	–4
T4	Davis Love III	United States	68	–4
T4	Henrik Stenson	Sweden	68	–4
T10	Jonathan Byrd	United States	69	–3
T10	Harrison Frazar	United States	69	–3
T10	Fred Funk	United States	69	–3
T10	Sergio García	Spain	69	–3
T10	Tim Herron	United States	69	–3
T10	Billy Mayfair	United States	69	–3
T10	Shaun Micheel	United States	69	–3
T10	Phil Mickelson	United States	69	–3
T10	Geoff Ogilvy	Australia	69	–3
T10	Lee Westwood	England	69	–3
T10	Tiger Woods	United States	69	–3
