Ship	Year	Dates	Line	From	Distance	Days, hours, minutes	Speed
Columbia	1830	1 – 17 April	Black Ball Line	Portsmouth	nautical miles (km)	15 d, 23 h	knots (km/h)
Great Western	1838	8 – 23 April	GW	Avonmouth	nautical miles (km)	15 d, 12 h, 0 m	knots (km/h)
Great Western	1838	2 – 17 June	GW	Avonmouth	nautical miles (km)	14 d, 16 h, 0 m	knots (km/h)
Great Western	1839	18 May–31 May	GW	Avonmouth	nautical miles (km)	13 d, 12 h, 0 m	knots (km/h)
Columbia	1841	4 – 15 June	Cunard	Liverpool	nautical miles (km)	10 d, 19 h, 0 m	knots (km/h)
Great Western	1843	29 April–11 May	GW	Liverpool	nautical miles (km)	12 d, 18 h, 0 m	knots (km/h)
Cambria	1845	19 – 29 July	Cunard	Liverpool	nautical miles (km)	9 d, 20 h, 30 m	knots (km/h)
America	1848	3 – 12 June	Cunard	Liverpool	nautical miles (km)	9 d, 0 h, 16 m	knots (km/h)
Europa	1848	14 – 23 October	Cunard	Liverpool	nautical miles (km)	8 d, 23 h, 0 m	knots (km/h)
Asia	1850	18 May–27 May	Cunard	Liverpool	nautical miles (km)	8 d, 14 h, 50 m	knots (km/h)
Pacific	1850	11 – 21 September	Collins	Liverpool	nautical miles (km)	10 d, 4 h, 45 m	knots (km/h)
Baltic	1851	6 – 16 August	Collins	Liverpool	nautical miles (km)	9 d, 19 h, 26 m	knots (km/h)
Baltic	1854	28 June – 7 July	Collins	Liverpool	nautical miles (km)	9 d, 16 h, 52 m	knots (km/h)
Persia	1856	19 – 29 April	Cunard	Liverpool	nautical miles (km)	9 d, 16 h, 16 m	knots (km/h)
Scotia	1863	19 – 27 July	Cunard	Queenstown	nautical miles (km)	8 d, 3 h, 0 m	knots (km/h)
Adriatic	1872	17 May–25 May	W.Star	Queenstown	nautical miles (km)	7 d, 23 h, 17 m	knots (km/h)
Germanic	1875	30 July – 7 August	W.Star	Queenstown	nautical miles (km)	7 d, 23 h, 7 m	knots (km/h)
City of Berlin	1875	17 – 25 September	Inman	Queenstown	nautical miles (km)	7 d, 18 h, 2 m	knots (km/h)
Britannic	1876	27 October – 4 November	W.Star	Queenstown	nautical miles (km)	7 d, 13 h, 11 m	knots (km/h)
Germanic	1877	6 – 13 April	W.Star	Queenstown	nautical miles (km)	7 d, 11 h, 37 m	knots (km/h)
Alaska	1882	9 – 16 April	Guion	Queenstown	nautical miles (km)	7 d, 6 h, 20 m	knots (km/h)
Alaska	1882	14 May–21 May	Guion	Queenstown	nautical miles (km)	7 d, 4 h, 12 m	knots (km/h)
Alaska	1882	18 – 25 June	Guion	Queenstown	nautical miles (km)	7 d, 1 h, 58 m	knots (km/h)
Alaska	1883	29 April–6 May	Guion	Queenstown	nautical miles (km)	6 d, 23 h, 48 m	knots (km/h)
Oregon	1884	13 – 19 April	Guion	Queenstown	nautical miles (km)	6 d, 10 h, 10 m	knots (km/h)
Etruria	1885	16 – 22 August	Cunard	Queenstown	nautical miles (km)	6 d, 5 h, 31 m	knots (km/h)
Umbria	1887	29 May – 4 June	Cunard	Queenstown	nautical miles (km)	6 d, 4 h, 12 m	knots (km/h)
Etruria	1888	27 May – 2 June	Cunard	Queenstown	nautical miles (km)	6 d, 1 h, 55 m	knots (km/h)
City of Paris	1889	2 May–8 May	Inman	Queenstown	nautical miles (km)	5 d, 23 h, 7 m	knots (km/h)
City of Paris	1889	22 – 28 August	Inman	Queenstown	nautical miles (km)	5 d, 19 h, 18 m	knots (km/h)
Majestic	1891	30 July – 5 August	W.Star	Queenstown	nautical miles (km)	5 d, 18 h, 8 m	knots (km/h)
Teutonic	1891	13 – 19 August	W.Star	Queenstown	nautical miles (km)	5 d, 16 h, 31 m	knots (km/h)
City of Paris	1892	20 – 27 July	Inman	Queenstown	nautical miles (km)	5 d, 15 h, 58 m	knots (km/h)
City of Paris	1892	13 – 18 October	Inman	Queenstown	nautical miles (km)	5 d, 14 h, 24 m	knots (km/h)
Campania	1893	18 – 23 June	Cunard	Queenstown	nautical miles (km)	5 d, 15 h, 37 m	knots (km/h)
Campania	1894	12 – 17 August	Cunard	Queenstown	nautical miles (km)	5 d, 9 h, 29 m	knots (km/h)
Lucania	1894	26 – 31 August	Cunard	Queenstown	nautical miles (km)	5 d, 8 h, 38 m	knots (km/h)
Lucania	1894	23 – 28 September	Cunard	Queenstown	nautical miles (km)	5 d, 7 h, 48 m	knots (km/h)
Lucania	1894	21 – 26 October	Cunard	Queenstown	nautical miles (km)	5 d, 7 h, 23 m	knots (km/h)
Kaiser Wilhelm der Grosse	1898	30 March – 3 April	NDL	The Needles	nautical miles (km)	5 d, 20 h, 0 m	knots (km/h)
Deutschland	1900	6 – 12 July	Hapag	Eddystone	nautical miles (km)	5 d, 15 h, 46 m	knots (km/h)
Deutschland	1900	26 August – 1 September	Hapag	Cherbourg	nautical miles (km)	5 d, 12 h, 29 m	knots (km/h)
Deutschland	1901	26 July – 1 August	Hapag	Cherbourg	nautical miles (km)	5 d, 16 h, 12 m	knots (km/h)
Kronprinz Wilhelm	1902	10 – 16 September	NDL	Cherbourg	nautical miles (km)	5 d, 11 h, 57 m	knots (km/h)
Deutschland	1903	2 – 8 September	Hapag	Cherbourg	nautical miles (km)	5 d, 11 h, 54 m	knots (km/h)
