Outcome	Year	Championship	Surface	Partner	Opponent	Score
Winner	1999	French Open	Clay	Venus Williams	Martina Hingis Anna Kournikova	6–3, 6–7 (2–7) , 8–6
Winner	1999	US Open	Hard	Venus Williams	Chanda Rubin Sandrine Testud	4–6, 6–1, 6–4
Winner	2000	Wimbledon	Grass	Venus Williams	Julie Halard-Decugis Ai Sugiyama	6–3, 6–2
Winner	2001	Australian Open	Hard	Venus Williams	Lindsay Davenport Corina Morariu	6–2, 2–6, 6–4
Winner	2002	Wimbledon (2)	Grass	Venus Williams	Virginia Ruano Pascual Paola Suárez	6–2, 7–5
Winner	2003	Australian Open (2)	Hard	Venus Williams	Virginia Ruano Pascual Paola Suárez	4–6, 6–4, 6–3
Winner	2008	Wimbledon (3)	Grass	Venus Williams	Lisa Raymond Samantha Stosur	6–2, 6–2
Winner	2009	Australian Open (3)	Hard	Venus Williams	Daniela Hantuchová Ai Sugiyama	6–3, 6–3
Winner	2009	Wimbledon (4)	Grass	Venus Williams	Samantha Stosur Rennae Stubbs	7–6 (7–4) , 6–4
Winner	2009	US Open (2)	Hard	Venus Williams	Cara Black Liezel Huber	6–2, 6–2
Winner	2010	Australian Open (4)	Hard	Venus Williams	Cara Black Liezel Huber	6–4, 6–3
Winner	2010	French Open (2)	Clay	Venus Williams	Květa Peschke Katarina Srebotnik	6–2, 6–3
