Game	October	Opponent	Score	Decision	Location/Attendance	Record
1	8	@ Ottawa Senators	2-1	Miller	Scotiabank Place/19,350	1-0-0
2	9	New York Rangers	3-6	Miller	HSBC Arena/18,690	1-1-0
3	11	Chicago Blackhawks	3-4	Miller	HSBC Arena/17,896	1-2-0
4	13	New Jersey Devils	0-1 (OT)	Miller	HSBC Arena/18,690	1-2-1
5	15	Montreal Canadiens	1-2	Miller	HSBC Arena/17,264	1-3-1
6	16	@ Chicago Blackhawks	3-4	Lalime	United Center/21,293	1-4-1
7	20	@ Atlanta Thrashers	4-1	Miller	Philips Arena/8,820	2-4-1
8	22	Ottawa Senators	2-4	Miller	HSBC Arena/18,009	2-5-1
9	23	@ New Jersey Devils	6-1	Miller	Prudential Center/14,228	3-5-1
10	26	@ Philadelphia Flyers	3-6	Miller	Wells Fargo Center/19,361	3-6-1
11	29	@ Atlanta Thrashers	3-4 (OT)	Miller	Philips Arena/10,172	3-6-2
