Week	Date	Opponent	Result	Attendance
1	September 17, 1967	at Baltimore Colts	L 38-31	56,715
2	September 24, 1967	at San Francisco 49ers	L 38-7	30,207
3	October 1, 1967	at Green Bay Packers	L 23-0	49,467
4	October 8, 1967	Philadelphia Eagles	L 38-7	53,868
5	October 15, 1967	Washington Redskins	T 20-20	56,538
6	October 22, 1967	at Detroit Lions	L 24-3	50,601
7	October 29, 1967	Minnesota Vikings	W 21-20	52,859
8	November 5, 1967	at Dallas Cowboys	L 37-7	54,751
9	November 12, 1967	Baltimore Colts	L 49-7	58,850
10	November 19, 1967	Los Angeles Rams	L 31-3	56,871
11	November 26, 1967	at New Orleans Saints	L 27-24	83,437
12	December 3, 1967	at Los Angeles Rams	L 20-3	46,395
13	December 10, 1967	San Francisco 49ers	L 34-28	51,798
14	December 17, 1967	Chicago Bears	L 23-14	54,107
