Class	Team	Drivers	Laps	Qual Pos
OC	Castrol Perkins Racing	Larry Perkins Russell Ingall	147	7
OC	Holden Racing Team	Craig Lowndes Mark Skaife	147	1
OC	Dick Johnson Racing	John Bowe Cameron McConville	147	5
OC	Glenn Seton Racing	Glenn Seton Neil Crompton	145	6
OC	Stone Brothers Racing	Jason Bright Steven Richards	145	3
OC	Holden Racing Team	Greg Murphy Mark Noske	145	2
OC	Garry Rogers Motorsport	Jason Bargwanna Jim Richards	144	8
OC	Gibson Motor Sport	Darren Hossack Darren Pate	143	16
OC	Tomas Mezera Motorsport	Tomas Mezera Terry Finnigan	143	17
OC	Gibson Motor Sport	David Parsons Simon Wills	143	22
OC	Larkham Motor Sport	Mark Larkham Brad Jones	142	4
CT	Lansvale Racing Team	Steve Reed Trevor Ashby	141	23
OC	Greg Crick Motorsport	Greg Crick Dean Crosswell	139	21
OC	Castrol Perkins Racing	Melinda Price Kerryn Brewer	138	24
CT	Clive Wiseman Racing	Mick Donaher Dean Lindstrom	133	26
OC	James Rosenberg Racing	Mark Poole Tony Scott	133	13
OC	John Faulkner Racing	John Faulkner Todd Kelly	131	33
CT	Simon Emerzidis	Simon Emerzidis Garry Willmington	128	25
CT	Imrie Motor Sport	Mike Imrie Rodney Crick	127	31
CT	Robert Smith Racing	Robert Smith Bruce Williams	123	27
CT	Rod Smith Racing	D'arcy Russell Colin Ivory	121	30
OC	Cadillac Productions	Mike Conway Chris Hones	119	29
OC	John Sidney Racing	Anthony Tratt Bob Jones	125	20
OC	Paul Weel Racing	Paul Weel Neal Bates	122	18
OC	Perkins Engineering	Dugal McDougall Jason Wylie	109	19
CT	Rod Nash Racing	Rod Nash Darren Edwards	102	28
OC	Dick Johnson Racing	Dick Johnson Steven Johnson	99	9
CT	V8 Racing	Richard Mork Bill Sieders	94	32
OC	Wayne Gardner Racing	Wayne Gardner Paul Stokell	73	14
OC	Garry Rogers Motorsport	Garth Tander Cameron McLean	30	12
OC	Tony Longhurst Racing	Tony Longhurst Geoff Brabham	7	10
OC	Romano Racing	Paul Romano Steve Ellery	6	15
OC	Tony Longhurst Racing	Alan Jones Adam Macrow	0	11
