Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Bryncoch RFC	22	21	0	1	743	403	106	58	13	0	93 1
Ystalyfera RFC	22	15	0	7	563	379	67	47	5	4	69
Taibach RFC	22	14	1	7	514	340	75	42	8	2	68
Glyncorrwg RFC	22	13	1	8	468	311	61	38	5	6	65
Resolven RFC	22	12	0	10	460	439	61	62	7	6	61
Pontycymmer RFC	22	10	0	12	384	405	52	49	5	5	50
Aberavon Green Stars RFC	22	10	0	12	342	598	49	85	5	3	48
Ystradgynlais RFC	22	9	0	13	366	451	44	59	4	3	43
Porthcawl RFC	22	7	1	14	490	517	64	72	6	6	42
Vardre RFC	22	8	1	13	343	381	44	46	1	6	41
Neath Athletic RFC	22	7	0	15	352	521	48	75	5	8	41
Birchgrove RFC	22	4	0	18	286	566	38	76	1	4	21
