Rider	Manufacturer	Laps	Time	Grid
Simone Corsi	Aprilia	20	39:59.020	8
Gabor Talmacsi	Aprilia	20	+0.019	2
Pol Espargaro	Derbi	20	+0.036	4
Mike Di Meglio	Derbi	20	+0.135	3
Bradley Smith	Aprilia	20	+0.178	7
Sergio Gadea	Aprilia	20	+0.490	5
Nicolas Terol	Aprilia	20	+0.832	9
Sandro Cortese	Aprilia	20	+3.865	6
Joan Olivé	Derbi	20	+3.928	14
Stefan Bradl	Aprilia	20	+5.439	11
Steve Bonsey	Aprilia	20	+10.244	13
Andrea Iannone	Aprilia	20	+10.447	12
Raffaele De Rosa	KTM	20	+18.366	1
Scott Redding	Aprilia	20	+23.201	16
Michael Ranseder	Aprilia	20	+24.440	18
Takaaki Nakagami	Aprilia	20	+26.631	15
Randy Krummenacher	KTM	20	+30.629	19
Efren Vazquez	Aprilia	20	+30.730	25
Marc Marquez	KTM	20	+33.868	23
Lorenzo Zanetti	KTM	20	+36.928	31
Pere Tutusaus	Aprilia	20	+49.951	32
Lorenzo Savadori	Aprilia	20	+50.038	22
Jules Cluzel	Loncin	20	+50.040	24
Dominique Aegerter	Derbi	20	+50.052	26
Esteve Rabat	KTM	20	+56.360	20
Riccardo Moretti	Honda	20	+1:06.247	35
Alexis Masbou	Loncin	20	+1:06.566	38
Robin Lasser	Aprilia	20	+1:06.982	33
Hugo Van Den Berg	Aprilia	20	+1:09.266	28
Luca Vitali	Aprilia	20	+1:10.551	38
Gabriele Ferro	Honda	20	+1:10.567	34
Louis Rossi	Honda	20	+1:36.451	37
Ferrucio Lamborghini	Aprilia	20	+1:39.883	36
Robert Muresan	Aprilia	18	+2 Laps	30
Danny Webb	Aprilia	19	Accident	17
Tomoyoshi Koyama	KTM	16	Retirement	10
Roberto Lacalendola	Aprilia	11	Retirement	29
Pablo Nieto	KTM	8	Retirement	27
Stefano Bianco	Aprilia	2	Accident	21
