Pick #	Player	Nationality	Position	League from
1	John Tavares	Canada	C	Ontario Hockey League
2	Victor Hedman	Sweden	D	Elitserien (Sweden)
3	Matt Duchene	Canada	C	Ontario Hockey League
4	Evander Kane	Canada	C	Western Hockey League
5	Brayden Schenn	Canada	C	Western Hockey League
6	Oliver Ekman-Larsson	Sweden	D	Allsvenskan (Sweden)
7	Nazem Kadri	Canada	C	Ontario Hockey League
8	Scott Glennie	Canada	RW	Western Hockey League
9	Jared Cowen	Canada	D	Western Hockey League
10	Magnus Paajarvi-Svensson	Sweden	LW	Elitserien (Sweden)
11	Ryan Ellis	Canada	D	Ontario Hockey League
12	Calvin de Haan	Canada	D	Ontario Hockey League
13	Zack Kassian	Canada	RW	Ontario Hockey League
14	Dmitri Kulikov	Russia	D	Quebec Major Junior Hockey League
15	Peter Holland	Canada	C	Ontario Hockey League
16	Nick Leddy	United States	D	US High School-Minnesota
17	David Rundblad	Sweden	D	Elitserien (Sweden)
18	Louis Leblanc	Canada	C	United States Hockey League
19	Chris Kreider	United States	C	United States High School-Massachusetts
20	Jacob Josefson	Sweden	C	Elitserien (Sweden)
21	John Moore	United States	D	United States Hockey League
22	Jordan Schroeder	United States	C	Western Collegiate Hockey Association
23	Tim Erixon	Sweden	D	Elitserien (Sweden)
24	Marcus Johansson	Sweden	C	Elitserien (Sweden)
25	Jordan Caron	Canada	RW	Quebec Major Junior Hockey League
26	Kyle Palmieri	United States	C/RW	United States Hockey League
27	Philippe Paradis	Canada	C	Quebec Major Junior Hockey League
28	Dylan Olsen	Canada	D	Alberta Junior Hockey League
29	Carter Ashton	Canada	RW	Western Hockey League
30	Simon Despres	Canada	D	Quebec Major Junior Hockey League
