Year	Points	Rebounds	Assists	Steals	Blocks
1995	Albert White (13)	Kevin Garnett (10)	Stephon Marbury (5)	3 tied (2)	Kevin Garnett (9)
1996	Jermaine O'Neal (21)	Jermaine O'Neal (10)	Ed Cota (4)	Winfred Walton (3)	Jermaine O'Neal (7)
1997	Larry Hughes (20)	Ron Artest (9)	Baron Davis (5)	Ron Artest (5)	Shane Battier (2)
1998	Al Harrington (26)	Al Harrington (9)	Ronald Curry (4)	2 tied (4)	2 tied (2)
1999	Casey Jacobsen (31)	Travis Watson (9)	Jay Williams (7)	3 tied (2)	Jason Parker (2)
2000	Zach Randolph (24)	2 tied (8)	Chris Duhon (6)	Darius Miles (3)	Darius Miles (2)
2004	Josh Smith (27)	Al Jefferson (7)	Sebastian Telfair (7)	3 tied (3)	Josh Smith (2)
2005	Tyler Hansbrough (31)	Tyler Hansbrough (10)	Greg Paulus (10)	Monta Ellis (4)	Tyler Hansbrough (3)
2006	Wayne Ellington (31)	2 tied (7)	2 tied (6)	Wayne Ellington (3)	Gerald Henderson (3)
2007	OJ Mayo (20)	Michael Beasley (9)	Jonny Flynn (10)	Derrick Rose (4)	2 tied (2)
2008	DeMar DeRozan (17)	Tyreke Evans (8)	Jrue Holiday (5)	4 tied (3)	Drew Gordon (4)
2009	Xavier Henry (22)	John Henson (9)	John Wall (11)	John Wall (5)	2 tied (2)
2010	Harrison Barnes (27)	Jared Sullinger (8)	2 tied (5)	3 tied (2)	Terrence Jones (3)
2011	Austin Rivers (20)	Anthony Davis (10)	Tony Wroten (5)	Tony Wroten (2)	Michael Kidd-Gilchrist (5)
2012	Shabazz Muhammad (35)	Kyle Anderson (10)	Kyle Anderson (4)	Nerlens Noel (4)	Nerlens Noel (4)
