Place	Player	Country	Score	To par	Money ( £ )
1	Tom Watson	United States	68-70-64-69=271	–13	25,000
2	Lee Trevino	United States	68-67-71-69=275	–9	17,500
3	Ben Crenshaw	United States	70-70-68-69=277	–7	13,500
T4	Carl Mason	England	72-69-70-69=280	–4	9,250
T4	Jack Nicklaus	United States	73-67-71-69=280	–4	9,250
T6	Andy Bean	United States	71-69-70-72=282	–2	7,250
T6	Ken Brown	Scotland	70-68-68-76=282	–2	7,250
T6	Hubert Green	United States	77-69-64-72=282	–2	7,250
T6	Craig Stadler	United States	72-70-69-71=282	–2	7,250
T10	Gil Morgan	United States	70-70-71-72=283	–1	5,750
T10	Jack Newton	Australia	69-71-73-70=283	–1	5,750
