Year	Division	League	Regular Season	Playoffs	Open Cup
1994	3	USISL	1st, Northeast	Sizzling Nine	Did not enter
1995	3	USISL Pro League	1st, Coastal	Champion	Did not qualify
1996	3	USISL Select League	1st, North Atlantic	Semifinals	Did not qualify
1997	2	USISL A-League	3rd, Northeast	Division Finals	Quarterfinals
1998	2	USISL A-League	4th, Northeast	Conference Quarterfinals	Did not qualify
1999	2	USL A-League	3rd, Northeast	Conference Quarterfinals	Did not qualify
2000	2	USL A-League	1st, Northeast	Conference Quarterfinals	Did not qualify
2001	2	USL A-League	6th, Northern	Did not qualify	Did not qualify
2002	3	USL D3-Pro League	1st, Atlantic	Champion	Did not qualify
2003	3	USL Pro Select League	1st, Atlantic	Regional Finals	2nd Round
2004	3	USL Pro Soccer League	3rd, Atlantic	Did not qualify	Did not qualify
2005	3	USL Second Division	6th	Did not qualify	2nd Round
2006	3	USL Second Division	9th	Did not qualify	Did not qualify
2007	4	USL PDL	4th, Northeast	Did not qualify	1st Round
2008	4	USL PDL	3rd, Northeast	Did not qualify	Did not qualify
2009	4	USL PDL	2nd, Northeast	Divisional Semifinals	Did not qualify
2010	4	USL PDL	4th, Northeast	Did not qualify	2nd Round
2011	4	USL PDL	1st, Mid Atlantic	National Semifinals	Did not qualify
2012	4	USL PDL	5th, Mid Atlantic	Did not qualify	2nd Round
