Rank	State	Revenue (millions)	Population	Revenue per capita	Spending (millions)	Spending per capita	Net contribution per capita	Presidential majority 2000/2004	Presidential majority 2008	Presidential majority 2012	Obamacare: Fed/ State/ Partnership
1	Delaware	$16,858	864764	$19,494	$6,234	$7,209	$12,285	Gore/Kerry	Obama	Obama	partnership
2	Minnesota	$78,697	5197621	$15,141	$40,075	$7,710	$7,431	Gore/Kerry	Obama	Obama	state-based
3	New Jersey	$121,678	8685920	$14,009	$63,972	$7,365	$6,644	Gore/Kerry	Obama	Obama	partnership
4	Connecticut	$54,236	3502309	$15,486	$32,378	$9,245	$6,241	Gore/Kerry	Obama	Obama	state-based
5	New York	$244,673	19297729	$12,679	$157,789	$8,177	$4,502	Gore/Kerry	Obama	Obama	state-based
6	Illinois	$135,458	12852548	$10,539	$88,669	$6,899	$3,640	Gore/Kerry	Obama	Obama	partnership
7	Nebraska	$19,043	1774571	$10,731	$13,986	$7,881	$2,850	Bush	McCain	Romney	federal-based
8	Rhode Island	$11,967	1057832	$11,313	$9,077	$8,581	$2,732	Gore/Kerry	Obama	Obama	state-based
9	Texas	$225,391	23904380	$9,429	$171,766	$7,186	$2,243	Bush	McCain	Romney	federal-based
10	Colorado	$45,404	4861515	$9,340	$34,828	$7,164	$2,176	Bush	Obama	Obama	state-based
11	Massachusetts	$74,782	6449755	$11,595	$61,028	$9,462	$2,133	Gore/Kerry	Obama	Obama	state-based
12	Arkansas	$27,340	2834797	$9,644	$22,454	$7,921	$1,723	Bush	McCain	Romney	partnership
13	Nevada	$19,619	2565382	$7,648	$15,474	$6,032	$1,616	Bush	Obama	Obama	state-based
14	California	$313,999	36553215	$8,590	$260,422	$7,124	$1,466	Gore/Kerry	Obama	Obama	state-based
15	North Carolina	$75,904	9061032	$8,377	$65,863	$7,269	$1,108	Bush	Obama	Romney	federal-based
16	Wisconsin	$43,778	5601640	$7,815	$38,177	$6,815	$1,000	Gore/Kerry	Obama	Obama	federal-based
17	Washington	$57,450	6468424	$8,882	$52,455	$8,109	$773	Gore/Kerry	Obama	Obama	state-based
18	Georgia	$75,218	9544750	$7,881	$71,079	$7,447	$433	Bush	McCain	Romney	federal-based
19	Ohio	$105,773	11466917	$9,224	$105,214	$9,175	$49	Bush	Obama	Obama	federal-based
20	Kansas	$22,311	2775997	$8,037	$22,737	$8,191	$-154	Bush	McCain	Romney	federal-based
21	Michigan	$69,924	10071822	$6,943	$71,652	$7,114	$-171	Gore/Kerry	Obama	Obama	partnership
22	New Hampshire	$9,304	1315828	$7,071	$9,764	$7,420	$-349	Bush/Kerry	Obama	Obama	partnership
23	Oklahoma	$29,325	3617316	$8,107	$30,686	$8,483	$-376	Bush	McCain	Romney	federal-based
24	Pennsylvania	$112,368	12432792	$9,038	$117,151	$9,423	$-385	Gore/Kerry	Obama	Obama	federal-based
25	Oregon	$23,467	3747455	$6,262	$25,242	$6,736	$-474	Gore/Kerry	Obama	Obama	state-based
26	Florida	$136,476	18251243	$7,478	$147,091	$8,059	$-581	Bush	Obama	Obama	federal-based
27	Tennessee	$47,747	6156719	$7,755	$51,456	$8,358	$-603	Bush	McCain	Romney	federal-based
28	Indiana	$42,668	6345289	$6,724	$47,254	$7,447	$-723	Bush	Obama	Romney	federal-based
29	Utah	$15,064	2645330	$5,694	$17,158	$6,486	$-792	Bush	McCain	Romney	Utah shop
30	Iowa	$18,437	2988046	$6,170	$21,649	$7,245	$-1,075	Gore/Bush	Obama	Obama	partnership
31	Missouri	$48,568	5878415	$8,262	$55,564	$9,452	$-1,190	Bush	McCain	Romney	federal-based
32	Wyoming	$4,725	522830	$9,037	$5,355	$10,242	$-1,205	Bush	McCain	Romney	Obama
33	Idaho	$9,025	1499402	$6,019	$10,946	$7,300	$-1,281	Bush	McCain	Romney	state-based
34	Arizona	$35,485	6338755	$5,598	$48,012	$7,574	$-1,976	Bush	McCain	Romney	federal-based
35	Louisiana	$33,677	4293204	$7,844	$43,036	$10,024	$-2,180	Bush	McCain	Romney	federal-based
36	Vermont	$3,806	621254	$6,126	$5,579	$8,980	$-2,854	Gore/Kerry	Obama	Obama	state-based
37	Maryland	$53,705	5618344	$9,559	$70,617	$12,569	$-3,010	Gore/Kerry	Obama	Obama	state-based
38	Kentucky	$23,151	4241474	$5,458	$35,927	$8,470	$-3,012	Bush	McCain	Romney	state-based
39	Puerto Rico	$3,549	3941459	$888	$16,798	$4,262	$-3,374	Non-voting	Non-voting	Non-voting	N/A
40	South Carolina	$20,499	4407709	$4,651	$37,056	$8,407	$-3,756	Bush	McCain	Romney	federal-based
41	Montana	$4,523	957861	$4,722	$8,497	$8,871	$-4,149	Bush	McCain	Romney	federal-based
42	Maine	$6,289	1317207	$4,775	$11,850	$8,996	$-4,221	Gore/Kerry	Obama	Obama	federal-based
43	South Dakota	$4,766	796214	$5,985	$8,280	$10,399	$-4,414	Bush	McCain	Romney	federal-based
44	North Dakota	$3,660	639715	$5,721	$6,766	$10,577	$-4,856	Bush	McCain	Romney	federal-based
45	Hawaii	$7,666	1283388	$5,974	$14,062	$10,957	$-4,983	Gore/Kerry	Obama	Obama	state-based
46	Alabama	$24,149	4627851	$5,218	$47,889	$10,348	$-5,130	Bush	McCain	Romney	federal-based
47	West Virginia	$6,522	1812035	$3,599	$17,067	$9,419	$-5,820	Bush	McCain	Romney	partnership
48	Virginia	$61,990	7712091	$8,038	$110,105	$14,277	$-6,239	Bush	Obama	Obama	federal-based
49	Mississippi	$10,869	2918785	$3,724	$30,616	$10,489	$-6,765	Bush	McCain	Romney	federal-based
50	New Mexico	$8,346	1969915	$4,237	$22,418	$11,380	$-7,143	Gore/Bush	Obama	Obama	state-based
51	Alaska	$4,287	683478	$6,273	$9,378	$13,721	$-7,448	Bush	McCain	Romney	federal-based
52	District of Columbia	$20,394	588292	$34,666	$43,475	$73,900	$-39,234	Gore/Kerry	Obama	Obama	state-based
