Season	Name	Hometown	Profession	Status	Finish
1	William Collins	Philadelphia , PA	Politician	Evicted: Day 16	10th
1	Jean Jordan	Roanoke , VA	Exotic Dancer	Evicted: Day 29	9th
1	Karen Fowler	Columbus , IN	Mother	Evicted: Day 43	8th
1	Brittany Petros	Robbinsdale , MN	Actress	Evicted: Day 57	7th
1	Cassandra Waldon	Havre de Grace , MD	UN communications director	Evicted: Day 71	6th
1	George Boswell	Rockford , IL	Roofer	Evicted: Day 78	5th
1	Jamie Kern	Seattle , WA	Model	Evicted: Day 85	4th
1	Curtis Kin	New York City , NY	Lawyer	Finalist: Day 88	3rd
1	Joshua Souza	San Luis Obispo , CA	Civil engineering student	Finalist: Day 88	Runner-up
1	Eddie McGee	Commack , NY	Entertainment industry	Finalist: Day 88	Winner
2	Justin Sebik	Bayonne , NJ	Bartender	Expelled: Day 10	12th
2	Sheryl Braxton	Ponte Vedra Beach , FL	Interior decorator	Evicted: Day 12	11th
2	Autumn Daly	Irving , TX	Aspiring singer	Evicted: Day 19	10th
2	Shannon Dragoo	San Antonio , TX	Realtor	Evicted: Day 26	9th
2	Mike "Boogie" Malin	Los Angeles , CA	Bar owner	Evicted: Day 33	8th
2	Kent Blackwelder	Powell , TN	Mortgage broker	Evicted: Day 40	7th
2	Krista Stegall	Opelousas , LA	Waitress	Evicted: Day 47	6th
2	Bill "Bunky" Miller	Harrisburg , NC	Technical writer	Evicted: Day 61	5th
2	Hardy Ames-Hill	York , PA	Account executive	Evicted: Day 68	4th
2	Monica Bailey	Brooklyn , NY	Candy store manager	Evicted: Day 77	3rd
2	Nicole Nilson Schaffrich	Atlanta , GA	Personal chef	Finalist: Day 82	Runner-up
2	Will Kirby	Miami , FL	Physician	Finalist: Day 82	Winner
3	Lori Olsen	Foxboro , WI	Bank representative	Evicted: Day 13	12th
3	Tonya Paoni	Las Vegas , NV	Retail sales	Evicted: Day 20	11th
3	Eric Ouellette	Milford , CT	Firefighter	Evicted: Day 34	10th
3	Josh Feinberg	Long Island , NY	Waiter	Evicted: Day 41	9th
3	Chiara Jude Berti	New York City , NY	Marketing representative	Evicted: Day 48	8th
3	Gerald "Gerry" Lancaster	Shadow Hills , CA	Teacher	Evicted: Day 55	7th
3	Roddy Mancuso	Morristown , NJ	Writer	Evicted: Day 62	6th
3	Marcellas Reynolds	Chicago , IL	Fashion stylist	Evicted: Day 69	5th
3	Amy Crews	Memphis , TN	Real estate appraiser	Evicted: Day 27 Evicted: Day 76	4th
3	Jason Guy	Mobile , AL	Videographer	Evicted: Day 78	3rd
3	Danielle Reyes	Fairfield , CA	Media buyer	Finalist: Day 82	Runner-up
3	Lisa Donahue	Los Angeles , CA	Bartender	Finalist: Day 82	Winner
4	Scott Weintraub	Chicago , IL	Waiter	Expelled: Day 8	13th
4	Amanda Craig	Chicago , IL	Bar manager	Evicted: Day 12	12th
4	Michelle Maradie	Boca Raton , FL	Student	Evicted: Day 19	11th
4	David Lane	Deerfield Beach , FL	Former Army Ranger	Evicted: Day 26	10th
4	Dana Varela	Queens , NY	Karate school manager	Evicted: Day 33	9th
4	Nathan Marlow	Edmond , OK	Personal trainer	Evicted: Day 40	8th
4	Justin Giovinco	Pittsburgh , PA	Headhunter	Evicted: Day 47	7th
4	Jack Owens, Jr.	Birmingham , AL	Former FBI agent	Evicted: Day 54	6th
4	Jee Choe	Elmhurst , NY	Bookkeeper	Evicted: Day 61	5th
4	Erika Landin	Los Angeles , CA	Pilates instructor	Evicted: Day 68	4th
4	Robert Roman	Los Angeles , CA	Restaurant manager	Evicted: Day 75	3rd
4	Alison Irwin	Meadville , PA	Retail sales manager	Finalist: Day 82	Runner-up
4	Jun Song	New York City , NY	Investment manager	Finalist: Day 82	Winner
5	Mike Lubinski	Eastpointe , MI	Commercial painter	Evicted: Day 14	14th
5	Lori Valenti	Woburn , MA	Yoga instructor	Evicted: Day 21	13th
5	Holly King	Los Angeles , CA	Model	Evicted: Day 28	12th
5	Scott Long	Pittsburgh , PA	Sales representative	Evicted: Day 35	11th
5	Jase Wirey	Decatur , IL	Volunteer firefighter	Evicted: Day 42	10th
5	Will Wikle	Tupelo , MS	Registered nurse	Evicted: Day 49	9th
5	Natalie (Montgomery) Carroll	Birmingham , AL	Fitness professional	Evicted: Day 56	8th
5	Adria (Montgomery) Klein	Birmingham , AL	Fitness professional	Evicted: Day 63	7th
