Goal	Date	Venue	Score	Result	Competition
1.	October 27, 2004	Giants Stadium , East Rutherford , United States	1–0	2–1	Friendly
2.	October 27, 2004	Giants Stadium, East Rutherford, United States	2–0	2–1	Friendly
3.	November 13, 2004	Orange Bowl , Miami , United States	2–0	5–0	2006 FIFA World Cup qualification
4.	November 13, 2004	Orange Bowl, Miami, United States	4–0	5–0	2006 FIFA World Cup qualification
5.	November 17, 2004	Estadio Tecnológico , Monterrey , Mexico	3–0	8–0	2006 FIFA World Cup qualification
6.	November 17, 2004	Estadio Tecnológico, Monterrey, Mexico	6–0	8–0	2006 FIFA World Cup qualification
7.	February 23, 2005	Estadio Carlos González , Culiacán , Mexico	1–0	1–1	Friendly
8.	June 16, 2005	AWD-Arena , Hanover , Germany	2–1	2–1	2005 FIFA Confederations Cup
9.	June 29, 2005	Zentralstadion , Leipzig , Germany	1–1	3–4 ( a.e.t. )	2005 FIFA Confederations Cup
10.	August 17, 2005	Estadio Azteca , Mexico City, Mexico	2–0	2–0	2006 FIFA World Cup qualification
11.	September 7, 2005	Estadio Azteca, Mexico City, Mexico	4–0	5–0	2006 FIFA World Cup qualification
12.	October 8, 2005	Estadio Alfonso Lastras , San Luis Potosí , Mexico	2–1	5–2	2006 FIFA World Cup qualification
13.	October 8, 2005	Estadio Alfonso Lastras, San Luis Potosí, Mexico	3–1	5–2	2006 FIFA World Cup qualification
14.	October 8, 2005	Estadio Alfonso Lastras, San Luis Potosí, Mexico	4–2	5–2	2006 FIFA World Cup qualification
15.	October 8, 2005	Estadio Alfonso Lastras, San Luis Potosí, Mexico	5–2	5–2	2006 FIFA World Cup qualification
16.	December 14, 2005	Chase Field , Phoenix , United States	1–0	2–0	Friendly
17.	January 25, 2006	Monster Park , San Francisco , United States	1–1	2–1	Friendly
18.	May 12, 2006	Estadio Azteca, Mexico City, Mexico	1–0	2–1	Friendly
19.	May 12, 2006	Estadio Azteca, Mexico City, Mexico	2–0	2–1	Friendly
20.	June 21, 2006	Veltins-Arena , Gelsenkirchen , Germany	1–2	1–2	2006 FIFA World Cup
21.	June 2, 2007	Estadio Alfonso Lastras, San Luis Potosí, Mexico	3–0	4–0	Friendly
