Season	Division	Rank	Avg.Att.	Top Goalscorer	Goals
1945–46	OL	6	unknown	Holzmüller	17
1946–47	OL	11	13 316	Franz Bachl	12
1947–48	OL	4	21 474	Hädelt	17
1948–49	OL	3	20 133	Hädelt Scholz	13
1949–50	OL	13	16 067	Franz Bachl Scholz	10
1950–51	OL	9	16 824	Seemann	15
1951–52	OL	8	16 067	Seemann	12
1952–53	OL	7	15 933	Heinz Lettl	13
1953–54	OL	9	17 867	Schädlich	8
1954–55	OL	16 ↓	15 600	Heinz Lettl	11
1955–56	OL2	2 ↑	13 000	Velhorn	19
1956–57	OL	10	20 867	Erich Hahn	11
1957–58	OL	7	21 000	Sommerlatt	16
1958–59	OL	4	22 800	Klaus Kuhnert	20
1959–60	OL	5	17 800	Peter Grosser	18
1960–61	OL	8	14 667	Wagenbauer	13
1961–62	OL	3	16 400	Rainer Ohlhauser	23
1962–63	OL	3	19 067	Rainer Ohlhauser	24
