Year	Category	Genre	Recording	Result
Latin Grammy Awards	Latin Grammy Awards	Latin Grammy Awards	Latin Grammy Awards	Latin Grammy Awards
2008	Best New Artist	General	Kany García	Won
2008	Best Female Pop Vocal Album	Pop	" Cualquier Día "	Won
2008	Song of the Year	Pop	" Hoy Ya Me Voy "	Nominated
2008	Album of the Year	General	Cualquier Día	Nominated
2010	Best Female Pop Vocal Album	Pop	" Boleto De Entrada "	Nominated
2012	Record of the Year	General	" Que Te Vaya Mal "	Nominated
Grammy Awards	Grammy Awards	Grammy Awards	Grammy Awards	Grammy Awards
2011	Best Latin Pop Album	Latin	"Boleto de Entrada"	Nominated
2013	Best Latin Pop Album	Latin	"Kany Garcia"	Nominated
