Season	Premier	Runner Up	Score	Venue	Attendance	Margin
1956	South Melbourne	Carlton	13.16 (94) – 13.10 (88)	Lake Oval	32,450	6
1957	South Melbourne	Geelong	15.13 (103) – 8.4 (52)	Lake Oval	25,000	51
1963	Footscray	Richmond	10.9 (69) – 9.9 (63)	Lake Oval	25,270	6
1964	Footscray	St Kilda	11.12 (78) – 11.7 (73)	Lake Oval	36,300	5
1965	North Melbourne	Carlton	14.13 (97) – 9.3 (57)	Lake Oval	37,750	40
1966	North Melbourne	Hawthorn	20.12 (132) – 12.7 (79)	Lake Oval	22,800	53
1968	Hawthorn	North Melbourne	16.15 (111) – 6.14 (50)	Lake Oval	15,650	61
1969	Hawthorn	Melbourne	10.17 (77) – 9.18 (72)	Lake Oval	21,067	5
1985	Hawthorn	Essendon	11.11 (77) – 10.8 (68)	Waverley Park	24,812	9
1986	Hawthorn	Carlton	9.12 (66) – 5.6 (36)	Waverley Park	19,627	30
1991	Hawthorn	North Melbourne	14.19 (103) – 7.12 (54)	Waverley Park	46,629	49
1992	Hawthorn	Fitzroy	19.14 (128) – 8.15 (63)	Waverley Park	49,453	65
1993	Essendon	Richmond	14.18 (102) – 11.13 (79)	Waverley Park	75,533	23
1994	Essendon	Adelaide	15.12 (102) – 9.14 (68)	Waverley Park	43,925	34
2001	Port Adelaide	Brisbane Lions	17.9 (111) – 3.8 (26)	Football Park	35,304	85
2002	Port Adelaide	Richmond	10.11 (71) – 9.8 (62)	Colonial Stadium	36,481	9
