Province of Silla	Administrative district	Pre-1009 province	Post-1009 province	Modern equivalent
Hanju	Gyeonggi ( 京畿 )	Gyeonggi	Gyeonggi	Kaesŏng
Hanju	Yangju -mok( 揚州牧 )	Gwannae -do	Seohae -do	Hwanghae
Hanju	Hwangju -mok( 黃州牧 )	Gwannae -do	Seohae -do	North Hwanghae
Hanju	Haeju -mok( 海州牧 )	Gwannae -do	Seohae -do	South Hwanghae
Hanju	Gwangju -mok( 廣州牧 )	Gwannae -do	Yanggwang -do	Gyeonggi
Hanju	Chungju -mok( 忠州牧 )	Jungwon -do	Yanggwang -do	North Chungcheong
Ungju	Cheongju -mok	Jungwon -do	Yanggwang -do	North Chungcheong
Ungju	Gongju -mok	Hanam -do	Yanggwang -do	South Chungcheong
Jeonju	Jeonju -mok( 全州牧 )	Gangnam -do	Jeolla -do	North Jeolla
Muju	Naju -mok	Haeyang -do	Jeolla -do	South Jeolla
Muju	Seungju	Haeyang -do	Jeolla -do	South Jeolla
Sangju	Sangju -mok	Yeongnam -do	Gyeongsang -do	North Gyeongsang
Gangju	Jinju -mok	Sannam -do	Gyeongsang -do	Western South Gyeongsang
Yangju	Jinju -mok	Yeongdong -do	Gyeongsang -do	Eastern South Gyeongsang
Sakju	—	Sakbang -do	Gyoju -do	Gangwon
Myeongju	—	Sakbang -do	Donggye	Gangwon
—	—	Paeseo -do	Bukgye	Pyeongan
