Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 11	MONY Senior Tournament of Champions	California	100000	Miller Barber (18)	282 (-6)	30000
Feb 9	Treasure Coast Classic	Florida	225000	Charles Owens (1)	202 (-14)	33750
Feb 16	General Foods PGA Seniors' Championship	Florida	250000	Gary Player (2)	281 (-7)	45000
Mar 16	Del E. Webb Senior PGA Tour Roundup	Arizona	200000	Charles Owens (2)	202 (-14)	30000
Mar 23	The Vintage Invitational	California	300000	Dale Douglass (1)	272 (-16)	40500
Mar 30	Johnny Mathis Seniors Classic	California	250000	Dale Douglass (2)	202 (-14)	37500
May 4	Sunwest Bank Charley Pride Senior Golf Classic	New Mexico	250000	Gene Littler (4)	202 (-14)	37500
May 11	Benson & Hedges Invitational	Texas	250000	Bruce Crampton (1)	202 (-14)	37500
May 18	United Hospitals Senior Golf Championship	Pennsylvania	200000	Gary Player (3)	206 (-4)	30000
Jun 1	Denver Post Champions of Golf	Colorado	250000	Gary Player (4)	208 (-8)	37500
Jun 8	Senior Players Reunion Pro-Am	Texas	175000	Don January (19)	203 (-13)	26250
Jun 22	Senior Tournament Players Championship	Ohio	300000	Chi Chi Rodriguez (1)	206 (-10)	45000
Jun 29	U.S. Senior Open	Ohio	275000	Dale Douglass (3)	279 (-9)	42500
Jul 13	The Greenbrier American Express Championship	West Virginia	200000	Don January (20)	207 (-9)	30000
Jul 20	Greater Grand Rapids Open	Michigan	250000	Jim Ferree (1)	204 (-9)	37500
Jul 27	MONY Syracuse Senior's Pro Golf Classic	New York	200000	Bruce Crampton (2)	206 (-10)	30000
Aug 3	Merrill Lynch/Golf Digest Commemorative	New York	250000	Lee Elder (7)	199 (-11)	37500
Aug 10	Digital Seniors Classic	Massachusetts	200000	Chi Chi Rodriguez (2)	203 (-13)	30000
Aug 17	GTE Northwest Classic	Washington	250000	Bruce Crampton (3)	210 (-6)	37500
Aug 31	Bank One Senior Golf Classic	Kentucky	200000	Gene Littler (5)	201 (-12)	30000
Sep 14	United Virginia Bank Seniors	Virginia	300000	Chi Chi Rodriguez (3)	202 (-14)	45000
Sep 21	PaineWebber World Seniors Invitational	North Carolina	200000	Bruce Crampton (4)	279 (-9)	30021
Oct 12	Fairfield Barnett Classic	Florida	175000	Dale Douglass (4)	203 (-13)	26250
Oct 19	Cuyahoga Seniors International	South Carolina	200000	Butch Baird (1)	210 (-3)	30000
Oct 26	Pepsi Senior Challenge	Georgia	250000	Bruce Crampton (5)	136 (-8)	37500
Nov 2	Seiko-Tucson Match Play Championship	Arizona	300000	Don January (21)	70-71	75000
Nov 9	Las Vegas Senior Classic	Nevada	250000	Bruce Crampton (6)	206 (-10)	37500
