Round	Venue	Discipline	Date	Winner	Second	Third
1	Düsseldorf	1.5km F Sprint	27 October 2007	Josef Wenzl ( GER )	Björn Lind ( SWE )	John Kristian Dahl ( NOR )
2	Beitostølen	15km F Individual	24 November 2007	Axel Teichmann ( GER )	Lukáš Bauer ( CZE )	Anders Södergren ( SWE )
3	Kuusamo	1.2km C Sprint	1 December 2007	Johan Kjølstad ( NOR )	Emil Jönsson ( SWE )	Mats Larsson ( SWE )
4	Kuusamo	15km C Individual	2 December 2007	Lukáš Bauer ( CZE )	Eldar Rønning ( NOR )	Axel Teichmann ( GER )
5	Davos	15km C Individual	8 December 2007	Axel Teichmann ( GER )	Odd-Bjørn Hjelmeset ( NOR )	Sami Jauhojärvi ( FIN )
6	Rybinsk	30km F Mass Start	15 December 2007	Tor Arne Hetland ( NOR )	Ville Nousiainen ( FIN )	Pietro Piller Cottrer ( ITA )
7	Rybinsk	1.3km F Sprint	16 December 2007	Anders Gløersen ( NOR )	Ola Vigen Hattestad ( NOR )	Øystein Pettersen ( NOR )
Tour de Ski	Tour de Ski	Tour de Ski	Tour de Ski	Tour de Ski	Tour de Ski	Tour de Ski
8	Nové Město	4.5km C Prologue	28 December 2007	Lukáš Bauer ( CZE )	Axel Teichmann ( GER )	Odd-Bjørn Hjelmeset ( NOR )
9	Nové Město	15km F Handicap Start	29 December 2007	Emmanuel Jonnier ( FRA )	Lukáš Bauer ( CZE )	Valerio Checchi ( ITA )
10	Prague	1km F Sprint	30 December 2007	Nikolay Morilov ( RUS )	Simen Østensen ( NOR )	Tor Arne Hetland ( NOR )
11	Nové Město	15km F Handicap Start	1 January 2008	Pietro Piller Cottrer ( ITA )	Valerio Checchi ( ITA )	Emmanuel Jonnier ( FRA )
12	Nové Město	15km C Individual	2 January 2008	Lukáš Bauer ( CZE )	Jens Arne Svartedal ( NOR )	Nikolay Pankratov ( RUS )
13	Asiago	1.2km F Sprint	4 January 2008	Petter Northug ( NOR )	Nikolay Chebotko ( KAZ )	Tor Arne Hetland ( NOR )
14	Val di Fiemme	20km C Mass Start	5 January 2008	Odd-Bjørn Hjelmeset ( NOR )	Jens Arne Svartedal ( NOR )	Franz Göring ( GER )
15	Val di Fiemme	10km F Handicap Start	6 January 2008	René Sommerfeldt ( GER )	Christian Hoffmann ( AUT )	Martin Bajčičák ( SVK )
Tour de Ski - Final Standings	Tour de Ski - Final Standings	Tour de Ski - Final Standings	Tour de Ski - Final Standings	Lukáš Bauer ( CZE )	René Sommerfeldt ( GER )	Giorgio Di Centa ( ITA )
End of Tour de Ski	End of Tour de Ski	End of Tour de Ski	End of Tour de Ski	End of Tour de Ski	End of Tour de Ski	End of Tour de Ski
16	Canmore	15+15km M Pursuit	22 January 2008	Nikolay Pankratov ( RUS )	Giorgio Di Centa ( ITA )	Axel Teichmann ( GER )
17	Canmore	1.2km C Sprint	23 January 2008	Børre Næss ( NOR )	Ola Vigen Hattestad ( NOR )	Eldar Rønning ( NOR )
18	Canmore	15km F Individual	25 January 2008	Valerio Checchi ( ITA )	René Sommerfeldt ( GER )	Pietro Piller Cottrer ( ITA )
19	Canmore	1.2km F Sprint	26 January 2008	Emil Jönsson ( SWE )	Ivan Ivanov ( RUS )	Mattias Strandvall ( FIN )
20	Otepää	15km C Individual	9 February 2008	Lukáš Bauer ( CZE )	Jaak Mae ( EST )	Ville Nousiainen ( FIN )
21	Otepää	1.4km C Sprint	10 February 2008	Eldar Rønning ( NOR )	John Kristian Dahl ( NOR )	Ola Vigen Hattestad ( NOR )
22	Liberec	11.4km F Individual	16 February 2008	Jean Marc Gaillard ( FRA )	Lukáš Bauer ( CZE )	Christian Hoffmann ( AUT )
23	Falun	15+15km M Pursuit	23 February 2008	Lukáš Bauer ( CZE )	Tord Asle Gjerdalen ( NOR )	Anders Södergren ( SWE )
24	Stockholm	1km C Sprint	27 February 2008	Jens Arne Svartedal ( NOR )	Børre Næss ( NOR )	Emil Jönsson ( SWE )
25	Lahti	1.2km F Sprint	1 March 2008	Anders Gløersen ( NOR )	Andrew Newell ( USA )	Ola Vigen Hattestad ( NOR )
26	Lahti	15km C Individual	2 March 2008	Lukáš Bauer ( CZE )	René Sommerfeldt ( GER )	Sergey Cherepanov ( KAZ )
27	Drammen	1km C Sprint	5 March 2008	Ola Vigen Hattestad ( NOR )	Jens Arne Svartedal ( NOR )	Emil Jönsson ( SWE )
28	Oslo	50km F Individual	8 March 2008	Anders Södergren ( SWE )	Lukáš Bauer ( CZE )	Remo Fischer ( SUI )
World Cup Final	World Cup Final	World Cup Final	World Cup Final	World Cup Final	World Cup Final	World Cup Final
29	Bormio	3.3km F Prologue	14 March 2008	Pietro Piller Cottrer ( ITA )	Tord Asle Gjerdalen ( NOR )	Martin Jakš ( CZE )
30	Bormio	20km C Mass Start	15 March 2008	Vincent Vittoz ( FRA )	Lukáš Bauer ( CZE )	Giorgio Di Centa ( ITA )
30	Bormio	15km F Handicap Start	16 March 2008	Vincent Vittoz ( FRA )	Lukáš Bauer ( CZE )	Giorgio Di Centa ( ITA )
