Name	Nationality	Position	Appearances	Goals
Patricio Almendra Category:Articles with hCards	Chile	Midfielder	18	6
Con Anthopoulos Category:Articles with hCards	Australia	Midfielder	8	0
Mark Atkinson Category:Articles with hCards	New Zealand	Defender	28	0
Campbell Banks Category:Articles with hCards	New Zealand	Striker	17	3
James Bannatyne Category:Articles with hCards	New Zealand	Goalkeeper	8	0
Mark Beldham Category:Articles with hCards	New Zealand	Striker	20	2
Scott Bishop Category:Articles with hCards	New Zealand	Goalkeeper	1	0
Andy Bluhm Category:Articles with hCards	Germany	Midfielder	21	1
Vinko Buljubasic Category:Articles with hCards	Australia	Defender	7	0
Che Bunce Category:Articles with hCards	New Zealand	Defender	43	2
Mark Burton Category:Articles with hCards	New Zealand	Midfielder	69	3
Jeff Campbell Category:Articles with hCards	New Zealand	Midfielder	76	2
Jeremy Christie Category:Articles with hCards	New Zealand	Midfielder	18	1
Glen Collins Category:Articles with hCards	New Zealand	Midfielder	18	0
Chad Coombes Category:Articles with hCards	New Zealand	Defender	6	0
Julio Cuello Category:Articles with hCards	Argentina	Goalkeeper	9	0
Gerard Davis Category:Articles with hCards	New Zealand	Defender	28	0
Raf de Gregorio Category:Articles with hCards	New Zealand	Midfielder	21	2
Fred de Jong Category:Articles with hCards	New Zealand	Striker	21	6
Paul Dempsey Category:Articles with hCards	England	Midfielder	2	0
Mauro Donoso Category:Articles with hCards	Chile	Defender	25	1
Sean Douglas Category:Articles with hCards	New Zealand	Defender	35	0
Daniel Duke Category:Articles with hCards	Australia	Goalkeeper	8	0
Simon Eaddy Category:Articles with hCards	New Zealand	Goalkeeper	8	0
Lance Eeson Category:Articles with hCards	New Zealand	Striker	2	0
Mark Elrick Category:Articles with hCards	New Zealand	Midfielder	6	1
Sean Fallon Category:Articles with hCards	New Zealand	Midfielder	1	0
Johnny Foundoulakis Category:Articles with hCards	New Zealand	Defender	2	0
George Goutzioulis Category:Articles with hCards	Australia	Midfielder	19	3
Paul Harries Category:Articles with hCards	Australia	Midfielder	12	1
Danny Hay Category:Articles with hCards	New Zealand	Defender	7	1
Noah Hickey Category:Articles with hCards	New Zealand	Striker	22	3
Robbie Hooker Category:Articles with hCards	Australia	Midfielder	10	0
Dennis Ibrahim Category:Articles with hCards	Germany	Striker	24	12
Chris Jackson Category:Articles with hCards	New Zealand	Midfielder	100	1
Lee Jones Category:Articles with hCards	New Zealand	Defender	31	2
Leigh Kenyon Category:Articles with hCards	New Zealand	Midfielder	8	0
John Lammers Category:Articles with hCards	Netherlands	Striker	8	0
Aaran Lines Category:Articles with hCards	New Zealand	Midfielder	30	2
John Markovski Category:Articles with hCards	Australia	Striker	24	1
Chris Marsh Category:Articles with hCards	New Zealand	Goalkeeper	12	0
Tallan Martin Category:Articles with hCards	Australia	Midfielder	21	3
Dino Mennillo Category:Articles with hCards	Australia	Midfielder	15	4
Robbie Middleby Category:Articles with hCards	Australia	Midfielder	21	1
Aleksander Midtsian Category:Articles with hCards	Norway	Midfielder	10	1
Hiroshi Miyazawa Category:Articles with hCards	Japan	Defender	35	0
David Moya Category:Articles with hCards	Chile	Defender	16	0
Harry Ngata Category:Articles with hCards	New Zealand	Midfielder	129	29
Ross Nicholson Category:Articles with hCards	New Zealand	Goalkeeper	20	0
Levent Osman Category:Articles with hCards	Australia	Defender	69	2
Jonathan Perry Category:Articles with hCards	New Zealand	Defender	90	7
James Pritchett Category:Articles with hCards	New Zealand	Defender	12	1
David Rayner Category:Articles with hCards	New Zealand	Midfielder	12	0
Stu Riddle Category:Articles with hCards	New Zealand	Striker	9	2
Jason Rowley Category:Articles with hCards	New Zealand	Defender	23	3
Wynton Rufer Category:Articles with hCards	New Zealand	Striker	48	12
Espen Schjerven Category:Articles with hCards	Norway	Midfielder	14	1
Brad Scott Category:Articles with hCards	New Zealand	Striker	11	0
Paul Seaman Category:Articles with hCards	Wales	Midfielder	6	0
Ben Sigmund Category:Articles with hCards	New Zealand	Defender	1	0
Aaron Silva Category:Articles with hCards	Brazil	Striker	32	13
Marcus Stergiopoulos Category:Articles with hCards	Australia	Midfielder	28	1
Tim Stevens Category:Articles with hCards	New Zealand	Midfielder	15	4
Batram Suri Category:Articles with hCards	Solomon Islands	Striker	13	2
John Tambouras Category:Articles with hCards	Australia	Defender	21	1
Jonathon Taylor Category:Articles with hCards	New Zealand	Defender	17	0
Michael Theoklitos Category:Articles with hCards	Australia	Goalkeeper	20	0
Steven Turner Category:Articles with hCards	New Zealand	Midfielder	14	0
Paul Urlovic Category:Articles with hCards	New Zealand	Striker	59	16
Michael Utting Category:Articles with hCards	New Zealand	Goalkeeper	49	0
Riki van Steeden Category:Articles with hCards	New Zealand	Defender	48	2
Ivan Vicelich Category:Articles with hCards	New Zealand	Defender	46	6
Andy Vlahos Category:Articles with hCards	Australia	Striker	45	9
Michael Williams Category:Articles with hCards	New Zealand	Defender	5	0
Tamati Williams Category:Articles with hCards	New Zealand	Goalkeeper	1	0
Vinicius Agostini Category:Articles with hCards	Brazil	Defender	2	0
Bruno Agostini Category:Articles with hCards	Brazil	Defender	1	0
Craig Wylie Category:Articles with hCards	New Zealand	Defender	11	0
Darren Young Category:Articles with hCards	New Zealand	Defender	9	0
