State	Seats (ACs)	Date of Counting	Incumbent	Election Winner
Tripura	60	Friday, 7 Mar 2008	CPI(M)	CPI(M)
Meghalaya	60	Friday, 7 Mar 2008	INC	MPA *1
Nagaland	60	Saturday, 8 March 2008	DAN	DAN *2
Karnataka	240	Sunday, 25 May 2008	INC	BJP
Chhattisgarh	90	Monday, 08 Dec 2008	BJP	BJP
Madhya Pradesh	230	Monday, 8 December 2008	BJP	BJP
Delhi	70	Monday, 8 December 2008	INC	INC
Mizoram	40	Monday, 08 Dec 2008	MNF	INC
Rajasthan	200	Monday, 8 December 2008	BJP	INC
Jammu and Kashmir	87	Sunday, 28 December 2008	PDP + INC	NC + INC
