Status	Name	First Performance	Last Performance	Style
Original Cast	Kiril Kulish	1 October 2008	3 October 2009	Ballet
Original Cast	David Álvarez	2 October 2008	3 January 2010	Ballet
Original Cast	Trent Kowalik	8 October 2008	7 March 2010	Ballet/Irish Step
Past	Tommy Batchelor	10 February 2009	11 December 2009	Ballet
Past	Alex Ko	6 October 2009	15 May 2011	Ballet/ Gymnastics
Past	Liam Redhead	23 December 2009	29 August 2010	Ballet
Past	Michael Dameski	31 January 2010	5 September 2010	Ballet
Past	Kevin Geraghty	19 December 2009	12 June 2011	Ballet/Street
Past	Jacob Clemente	3 April 2010	3 July 2011	Ballet/Tap
Past	Giuseppe Bausilio	3 July 2011	6 November 2011	Ballet
Past	Myles Erlick	24 September 2011	13 November 2011	Ballet
Final Cast	Peter Mazurowski	29 August 2010	8 January 2012	Ballet
Final Cast	Joseph Ryan Harrington	24 October 2010	8 January 2012	Ballet
Final Cast	Tade Biesinger	17 May 2011	8 January 2012	Ballet
Final Cast	Julian Elia	12 November 2011	8 January 2012	Ballet
