No. in season	No. in series	Title	Canadian airdate	US airdate	Production code
1	189	"What a Girl Wants" Part One	July19,2010	July20,2010	1001
2	190	"What a Girl Wants" Part Two	July20,2010	July21,2010	1002
3	191	"Breakaway" Part One	July21,2010	July22,2010	1003
4	192	"Breakaway" Part Two	July22,2010	July23,2010	1004
5	193	"99 Problems" Part One	July26,2010	July26,2010	1005
6	194	"99 Problems" Part Two	July27,2010	July27,2010	1006
7	195	"Better Off Alone" Part One	July28,2010	July28,2010	1007
8	196	"Better Off Alone" Part Two	July29,2010	July29,2010	1008
11	199	"Try Honesty" Part One	August4,2010	August4,2010	1011
12	200	"Try Honesty" Part Two	August5,2010	August5,2010	1012
13	201	"You Don't Know My Name" Part One	August9,2010	August9,2010	1013
14	202	"You Don't Know My Name" Part Two	August10,2010	August10,2010	1014
15	203	" My Body Is a Cage " Part One	August11,2010	August11,2010	1015
16	204	" My Body Is a Cage " Part Two	August12,2010	August12,2010	1016
17	205	"Tears Dry on Their Own" Part One	August16,2010	August16,2010	1017
18	206	"Tears Dry on Their Own" Part Two	August17,2010	August17,2010	1018
19	207	"Still Fighting It" Part One	August18,2010	August18,2010	1019
20	208	"Still Fighting It" Part Two	August19,2010	August19,2010	1020
21	209	"Purple Pills" Part One	August23,2010	August23,2010	1021
22	210	"Purple Pills" Part Two	August24,2010	August24,2010	1022
23	211	"All Falls Down" Part One	August25,2010	August25,2010	1023
24	212	"All Falls Down" Part Two	August26,2010	August26,2010	1024
25	213	"Don't Let Me Get Me" Part One	October8,2010	October8,2010	1025
26	214	"Don't Let Me Get Me" Part Two	October8,2010	October8,2010	1026
27	215	"Love Lockdown" Part One	October15,2010	October15,2010	1027
28	216	"Love Lockdown" Part Two	October22,2010	October22,2010	1028
29	217	"Umbrella" Part One	October29,2010	October29,2010	1029
30	218	"Umbrella" Part Two	November5,2010	November5,2010	1030
31	219	"Halo" Part One	November12,2010	November12,2010	1031
32	220	"Halo" Part Two	November19,2010	November19,2010	1032
33	221	"When Love Takes Over" Part One	February11,2011	February11,2011	1033
34	222	"When Love Takes Over" Part Two	February11,2011	February11,2011	1034
35	223	"The Way We Get By" Part One	February18,2011	February18,2011	1035
36	224	"The Way We Get By" Part Two	February25,2011	February25,2011	1036
37	225	"Jesus, Etc." Part One	March4,2011	March4,2011	1037
38	226	"Jesus, Etc." Part Two	March11,2011	March11,2011	1038
39	227	"Hide and Seek" Part One	March18,2011	March18,2011	1039
40	228	"Hide and Seek" Part Two	March25,2011	March25,2011	1040
41	229	"Chasing Pavements" Part One	April1,2011	April1,2011	1041
42	230	"Chasing Pavements" Part Two	April8,2011	April8,2011	1042
43	231	"Drop the World" Part One	April15,2011	April15,2011	1043
