Season	Div.	Pos.	Pld.	Pts.
Newcastle Eagles	Newcastle Eagles	Newcastle Eagles	Newcastle Eagles	Newcastle Eagles
1996–1997	BBL	7th	36	42
1997–1998	BBL	3rd	36	50
1998–1999	BBL	5th	36	42
1999–2000	BBL N	6th	36	10
2000–2001	BBL N	3rd	36	40
2001–2002	BBL N	3rd	32	34
2002–2003	BBL	5th	40	50
2003–2004	BBL	6th	36	36
2004–2005	BBL	2nd	40	62
2005–2006	BBL	1st	40	60
2006–2007	BBL	3rd	36	50
2007–2008	BBL	1st	33	58
2008–2009	BBL	1st	33	56
2009–2010	BBL	1st	36	62
2010–2011	BBL	2nd	33	48
2011–2012	BBL	1st	30	46
2012–2013	BBL	2nd	33	50
2013–2014*	BBL	1st	6	10
