Tour	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
Korea Super Series	Lee Chong Wei	Wang Shixian	Jung Jae-sung Lee Yong-dae	Cheng Shu Zhao Yunlei	He Hanbin Yu Yang
Malaysia Super Series	Lee Chong Wei	Wang Xin	Koo Kien Keat Tan Boon Heong	Du Jing Yu Yang	Tao Jiaming Zhang Yawen
All England Super Series	Lee Chong Wei	Tine Rasmussen	Lars Paaske Jonas Rasmussen	Du Jing Yu Yang	Zhang Nan Zhao Yunlei
Swiss Super Series	Chen Jin	Wang Shixian	Ko Sung-hyun Yoo Yeon-seong	Tian Qing Yu Yang	Lee Yong-dae Lee Hyo-jung
Singapore Super Series	Sony Dwi Kuncoro	Saina Nehwal	Fang Chieh-min Lee Sheng-mu	Shinta Mulia Sari Yao Lei	Thomas Laybourn Kamilla Rytter Juhl
Indonesia Super Series	Lee Chong Wei	Saina Nehwal	Fang Chieh-min Lee Sheng-mu	Lee Hyo-jung Kim Min-jung	Robert Mateusiak Nadieżda Kostiuczyk
China Masters Super Series	Lin Dan	Wang Xin	Cai Yun Fu Haifeng	Wang Xiaoli Yu Yang	Tao Jiaming Tian Qing
Japan Super Series	Lee Chong Wei	Jiang Yanjiao	Cai Yun Fu Haifeng	Wang Xiaoli Yu Yang	Zhang Nan Zhao Yunlei
Denmark Super Series	Jan Ø. Jørgensen	Wang Yihan	Mathias Boe Carsten Mogensen	Miyuki Maeda Satoko Suetsuna	Thomas Laybourn Kamilla Rytter Juhl
French Super Series	Taufik Hidayat	Wang Yihan	Mathias Boe Carsten Mogensen	Duanganong Aroonkesorn Kunchala Voravichitchaikul	Sudket Prapakamol Saralee Thungthongkam
China Open Super Series	Chen Long	Jiang Yanjiao	Jung Jae-sung Lee Yong-dae	Cheng Shu Zhao Yunlei	Tao Jiaming Tian Qing
Hong Kong Super Series	Lee Chong Wei	Saina Nehwal	Ko Sung-hyun Yoo Yeon-seong	Wang Xiaoli Yu Yang	Joachim Fischer Nielsen Christinna Pedersen
