NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )
3518	Spiral galaxy	Leo	10h04m01.9s	°28′29″
3521	Spiral galaxy	Leo	11h05m48.9s	°02′06″
3532	Open cluster	Carina	11h05m33s	°44′
3539	Lenticular galaxy	Ursa Major	11h09m08.8s	°40′21″
3550	Lenticular	Ursa Major	11h10m38.3s	°46′04″
3552	Lenticular	Ursa Major	11h10m42.8s	°41′25″
3553	Lenticular	Ursa Major	11h10m40.3s	°51′09″
3554	Elliptical	Ursa Major	11h10m47.8s	°39′38″
3556	Spiral galaxy	Ursa Major	11h11m31.3s	°40′31″
3576	Diffuse nebula	Carina	11h11m49.8s	°18′14″
3587	Planetary nebula	Ursa Major	11h14m47.7s	°01′09″
3593	Spiral galaxy	Leo	11h14m37.1s	°49′03″
3596	Spiral galaxy	Leo	11h15m06.3s	°47′12″
