Year	Championship	Winning score	Margin	Runner(s)-up
1958	LPGA Championship	+8 (69-69-76-74=288)	6 strokes	Fay Crocker
1958	U.S. Women's Open	–2 (74-72-70-74=290)	5 strokes	Louise Suggs
1959	U.S. Women's Open	+7 (72-75-69-71=287)	2 strokes	Louise Suggs
1960	LPGA Championship	–4 (71-76-74-71=292)	3 strokes	Louise Suggs
1961	Titleholders Championship	+11 (72-75-76-76=299)	1 stroke	Patty Berg , Louise Suggs
1961	U.S. Women's Open	+5 (72-80-69-72=293)	6 strokes	Betsy Rawls
1961	LPGA Championship	+3 (67-77-72-71=287)	9 strokes	Louise Suggs
1962	Titleholders Championship	+7 (73-75-70-77=295)	Playoff 1	Ruth Jessen
1962	Women's Western Open	+7 (69-74-76-76=295)	Playoff 2	Mary Lena Faulk
1963	Women's Western Open	–4 (78-70-71-73=292)	9 strokes	Kathy Whitworth
1963	LPGA Championship	+10 (72-82-70-70=294)	2 strokes	Mary Lena Faulk, Mary Mills , Louise Suggs
1964	U.S. Women's Open	–2 (71-71-75-73=290)	Playoff 3	Ruth Jessen
1966	Women's Western Open	+2 (72-78-76-76=302)	1 stroke	Jo Ann Prentice , Margie Masters
