Rank	Heat	Lane	Name	Nationality	Time
1	3	5	Misty Hyman	United States	2:07.87
2	5	4	Susie O'Neill	Australia	2:07.97
3	4	4	Petria Thomas	Australia	2:08.70
3	4	5	Otylia Jędrzejczak	Poland	2:08.70
5	3	4	Mette Jacobsen	Denmark	2:09.30
6	5	5	Maki Mita	Japan	2:09.85
7	5	3	Kaitlin Sandeno	United States	2:09.92
8	3	3	Yuko Nakanishi	Japan	2:10.22
9	2	3	Cécile Jeanson	France	2:10.78
10	5	6	Mireia García	Spain	2:10.96
11	3	2	Georgina Lee	Great Britain	2:11.09
12	4	2	Éva Risztov	Hungary	2:11.32
13	5	2	Sophia Skou	Denmark	2:11.35
14	4	7	Mandy Loots	South Africa	2:11.38
15	4	6	Margaretha Pedder	Great Britain	2:11.59
16	3	8	Elizabeth van Welie	New Zealand	2:11.62
17	3	7	Jen Button	Canada	2:11.74
18	3	1	Yekaterina Vinogradova	Russia	2:11.94
19	4	1	Liu Limin	China	2:12.32
20	2	1	Mirjana Bosevska	Macedonia	2:12.59
21	5	1	Liu Yin	China	2:12.79
22	4	3	Jessica Deglau	Canada	2:12.86
23	2	4	Petra Zahrl	Austria	2:13.29
24	2	5	Zhanna Lozumyrska	Ukraine	2:14.47
25	5	7	María Peláez	Spain	2:14.66
26	5	8	Anna Uryniuk	Poland	2:14.87
27	2	6	Raquel Felgueiras	Portugal	2:15.19
28	3	6	Franziska van Almsick	Germany	2:15.68
29	4	8	Hsieh Shu-Tzu	Chinese Taipei	2:16.23
30	2	7	Natalia Roubina	Cyprus	2:17.01
31	2	2	Zampia Melachroinou	Greece	2:17.60
32	2	8	Christel Bouvron	Singapore	2:17.62
33	1	3	Chan Wing Suet	Hong Kong	2:19.86
34	1	5	Tinka Dančević	Croatia	2:21.02
35	1	4	Ana Carolina Aguilera	Argentina	2:21.23
36	1	6	Hana Majaj	Jordan	2:31.78
