Country	Area (km²)	Population (2011 est.)	Population density (per km²)	GDP (PPP) $M USD
Country	Area (km²)	Population (2011 est.)	Population density (per km²)	GDP (PPP) $M USD
Åland ( Finland )	1,527	28,007	18.1	(Finland)
Denmark	43,098	5,564,219	129	$204,060
Faroe Islands ( Denmark )	1,399	48,917	35.0	(Denmark)
Estonia	45,227	1 286 479	29	$29.944
Finland	336,897	5,374,781	16	$190,862
Guernsey d[› ]	78	65,573	836.3	$2,742
Iceland	103,001	318,452	3.1	$12,664
Ireland	70,273	4,581,269	65.2	$188,112
Isle of Man d[› ]	572	80,085	140	$2,719
Jersey d[› ]	116	92,500	797	$5,100
Latvia	64,589	2,067,900	34.3	$38,764
Lithuania	65,200	3,221,216	50.3	$63,625
Norway	385,252	4,905,200	15.1	$256,523
Svalbard and Jan Mayen Islands ( Norway )	61,395	2,572	0.042	(Norway)
Sweden	449,964	9,354,462	20.6	$381.719
United Kingdom	243,610	62,008,048	254.7	$2,256,830
Total	1,811,176	99,230,679	54.8 / km²	$3,591,077
