District	Incumbent	Party	Elected	Status
1	Tim Bishop	Democrat	2002	Running
2	Steve Israel	Democrat	2000	Running
3	Peter King	Republican	1992	Running
4	Carolyn McCarthy	Democrat	1996	Running
5	Gary Ackerman	Democrat	1983	Running
6	Gregory W. Meeks	Democrat	1998	Running
7	Joseph Crowley	Democrat	1998	Running
8	Jerrold Nadler	Democrat	1992	Running
9	Anthony Weiner	Democrat	1998	Running
10	Ed Towns	Democrat	1982	Running
11	Major Owens	Democrat	1982	Running
12	Nydia Velazquez	Democrat	1992	Running
13	Vito Fossella	Republican	1997	Running
14	Carolyn Maloney	Democrat	1992	Running
15	Charles B. Rangel	Democrat	1970	Running
16	Jose Serrano	Democrat	1990	Running
17	Eliot Engel	Democrat	1988	Running
18	Nita Lowey	Democrat	1988	Running
19	Sue Kelly	Republican	1994	Running
20	John Sweeney	Republican	1998	Running
21	Mike McNulty	Democrat	1988	Running
22	Maurice Hinchey	Democrat	1992	Running
23	John McHugh	Republican	1992	Running
24	Sherwood Boehlert	Republican	1982	Running
25	Jim Walsh	Republican	1988	Running
26	Tom Reynolds	Republican	1998	Running
27	Jack Quinn	Republican	1992	Retiring
28	Louise Slaughter	Democrat	1986	Running
29	Amo Houghton	Republican	1986	Retiring
