Call sign	Frequency MHz	City of license	ERP W	Class	FCC info
K208DQ	89.5	Almont, Colorado	16	D	FCC
K220IM	91.9	Brush, Colorado	250	D	FCC
K208CH	89.5	Burlington, Colorado	250	D	FCC
K210BG	90.1	Canon City, Colorado	250	D	FCC
K216ES	91.1	Cardiff, Colorado	14	D	FCC
K290AK	105.9	Colorado Springs, Colorado	55	D	FCC
K292FM	106.3	Denver, Colorado	99	D	FCC
K237CY	95.3	Ft. Collins, Colorado	10	D	FCC
K229AH	93.7	Grand Junction, Colorado	10	D	FCC
K201HV	88.1	Jansen, Colorado	10	D	FCC
K220IY	91.9	Lafayette, Colorado	115	D	FCC
K220GH	91.9	Lake George, Colorado	75	D	FCC
K207BI	89.3	Lamar, Colorado	250	D	FCC
K211EQ	90.1	New Castle, Colorado	19	D	FCC
K204EX	88.7	Paonia, Colorado	62	D	FCC
K206BU	89.1	Seibert, Colorado	250	D	FCC
K215DA	90.9	Silver Cliff, Colorado	250	D	FCC
K218DB	91.5	Vilas, Colorado	250	D	FCC
K207BK	89.3	Walsh, Colorado	250	D	FCC
K220DE	91.9	Windsor, Colorado	10	D	FCC
K248AS	97.5	Woodland Park, Colorado	250	D	FCC
