Episode	Airdate	Reward	Immunity	Eliminated	Vote	Finish
1	07-23–2000	Lua	Lua	Hilca	5-1	1st Voted Out Day 3
2	07-30–2000	Sol	Lua	Amendoim	4-1	2nd Voted Out Day 6
3	08-06–2000	Sol	Lua	Marcus	3-1	3rd Voted Out Day 9
4	08-13–2000	Sol	Sol	Chico	3-3	4th Voted Out Day 12
5	08-20–2000	None	Lua	Ilma	2-1	5th Voted Out Day 15
6	08-27–2000	Andréa	Andréa	Jefferson	3-2-2	6th Voted Out Day 18
7	09-03–2000	Elaine Juliana Pipa	Elaine Juliana Pipa	Vanderson	4-1-1	7th Voted Out Day 21
7	09-03–2000	Elaine Juliana Pipa	Elaine Juliana Pipa	Thiago	2-1	8th Voted Out Day 21
8	09-10–2000	None	Elaine Pipa	Juliana	No Vote	9th Voted Out Day 22
8	09-10–2000	None	Elaine Pipa	Andréa	No Vote	10th Voted Out Day 22
8	09-10–2000	Final Trial	Final Trial	Pipa	No Vote	Runner-Up
