Edition	Round	Date	Against	Surface	Opponent	Result
2009 Fed Cup Europe/Africa Group II	RR	22–24 April 2009	Morocco	Hard	Fatima El Allami	6–4, 7–5
2009 Fed Cup Europe/Africa Group II	RR	22–24 April 2009	Latvia	Hard	Anastasija Sevastova	2–6, 3–6
2009 Fed Cup Europe/Africa Group II	GII Play-Offs	25 April 2009	South Africa	Hard	Natalie Grandin	6–4, 6–3
2010 Fed Cup Europe/Africa Group I	RR	3–5 February 2010	Croatia	Hard	Petra Martić	4–6, 1–6
2010 Fed Cup Europe/Africa Group I	RR	3–5 February 2010	Switzerland	Hard	Patty Schnyder	2–6, 4–6
2010 Fed Cup Europe/Africa Group I	RR	3–5 February 2010	Romania	Hard	Alexandra Dulgheru	0–6, 7–5, 2–6
2010 Fed Cup Europe/Africa Group I	GI Play-Offs	6 February 2010	Bulgaria	Hard	Tsvetana Pironkova	3–6, 3–6
2011 Fed Cup Europe/Africa Group II	RR	4–6 May 2011	Morocco	Clay	Fatima El Allami	4–6, 6–3, 6–2
2011 Fed Cup Europe/Africa Group II	RR	4–6 May 2011	Finland	Clay	Emma Laine	7–6 (7–3) , 6–3
2011 Fed Cup Europe/Africa Group II	GII Play-Offs	7 May 2011	Georgia	Clay	Sofia Shapatava	3–6, 6–4, 7–6 (8–6)
2012 Fed Cup Europe/Africa Group I	RR	1–3 February 2012	Great Britain	Hard	Elena Baltacha	2–6, 3–6
2012 Fed Cup Europe/Africa Group I	RR	1–3 February 2012	Israel	Hard	Shahar Pe'er	6–2, 6–1
2012 Fed Cup Europe/Africa Group I	RR	1–3 February 2012	Netherlands	Hard	Michaëlla Krajicek	6–1, 6–2
2012 Fed Cup Europe/Africa Group I	GI Play-Offs	4 February 2012	Bulgaria	Hard	Dia Evtimova	6–1, 6–1
2013 Fed Cup Europe/Africa Group I	RR	7–9 February 2013	Hungary	Hard	Tímea Babos	6–3, 5–7, 5–7
2013 Fed Cup Europe/Africa Group I	RR	7–9 February 2013	Great Britain	Hard	Heather Watson	6–1, 6–4
2013 Fed Cup Europe/Africa Group I	RR	7–9 February 2013	Bosnia and Herzegovina	Hard	Jelena Simic	6–3, 3–6, 6–2
