District	Incumbent	Party	First elected	Results	Candidates
New York 1	Tim Bishop	Democratic	2002	Re-elected	Tim Bishop (D) 62.2% Italo Zanzi (R) 37.8%
New York 2	Steve Israel	Democratic	2000	Re-elected	Steve Israel (D) 70.4% Josh Price (R) 29.6%
New York 3	Peter King	Republican	1992	Re-elected	Peter King (R) 56.0% David Mejias (D) 44.0%
New York 5	Gary Ackerman	Democratic	1983	Re-elected	Gary Ackerman (D) unopposed
New York 6	Gregory Meeks	Democratic	1998	Re-elected	Gregory Meeks (D) unopposed
New York 7	Joseph Crowley	Democratic	1998	Re-elected	Joseph Crowley (D) 84.0% Kevin Brawley (R) 16.0%
New York 9	Anthony Weiner	Democratic	1998	Re-elected	Anthony Weiner (D) unopposed
New York 13	Vito Fossella	Republican	1997	Re-elected	Vito Fossella (R) 56.8% Steve Harrison (D) 43.2%
New York 14	Carolyn Maloney	Democratic	1992	Re-elected	Carolyn Maloney (D) 84.5% Danniel Maio (R) 15.5%
New York 15	Charles Rangel	Democratic	1970	Re-elected	Charles Rangel (D) 94.0% Edward Daniels (R) 6.0%
New York 16	Jose Serrano	Democratic	1990	Re-elected	Jose Serrano (D) 95.3% Ali Mohamed (R) 4.7%
New York 17	Eliot Engel	Democratic	1988	Re-elected	Eliot Engel (D) 76.4% Jim Faulkner (R) 23.6%
New York 18	Nita Lowey	Democratic	1988	Re-elected	Nita Lowey (D) 70.7% Richard A. Hoffman (R) 29.3%
New York 19	Sue Kelly	Republican	1994	Lost re-election Democratic gain	John Hall (D) 51.2% Sue Kelly (R) 48.8%
New York 21	Mike McNulty	Democratic	1988	Re-elected	Mike McNulty (D) 78.2% Warren Redlich (R) 21.8%
New York 22	Maurice Hinchey	Democratic	1992	Re-elected	Maurice Hinchey (D) unopposed
New York 23	John McHugh	Republican	1992	Re-elected	John McHugh (R) 63.1% Robert Johnson (D) 36.9%
New York 25	Jim Walsh	Republican	1988	Re-elected	Jim Walsh (R) 50.8% Dan Maffei (D) 49.2%
New York 26	Tom Reynolds	Republican	1998	Re-elected	Tom Reynolds (R) 52.0% Jack Davis (D) 48.0%
New York 27	Brian Higgins	Democratic	2004	Re-elected	Brian Higgins (D) 79.3% Michael McHale (R) 20.7%
New York 28	Louise Slaughter	Democratic	1986	Re-elected	Louise Slaughter (D) 73.2% John Donnelly (R) 26.8%
