Unit	Commander	Complement	Killed	Wounded	Missing
Quarter-master-general	Major-General Jean Victor de Constant Rebecque	20 off 126 men	1 off 0 men	8 off 0 men	0 off 0 men
1st Division	Major-General George Cooke	175 off 4155 men	5 off 45 men	9 off 507 men	0 off 0 men
1st Brigade	Major-General Peregrine Maitland	78 off 1901 men	5 off 43 men	9 off 491 men	0 off 0 men
2nd Battalion, 1st Regiment of Foot Guards	Lieutenant Colonel Henry Askew	35 off 919 men	2 off 23 men	4 off 256 men	0 off 0 men
3rd Battalion, 1st Regiment of Foot Guards	Lieutenant Colonel the Honourable William Stewart	40 off 982 men	2 off 20 men	5 off 235 men	0 off 0 men
2nd Brigade	Major-General Sir John Byng, 1st Earl of Strafford	79 off 1939 men	0 off 0 men	0 off 7 men	0 off 0 men
2nd Battalion, Coldstream Regiment of Foot Guards	Lieutenant-Colonel James Macdonnell	36 off 896 men	0 off 0 men	0 off 0 men	0 off 0 men
2nd Battalion, 3rd Regiment of Foot Guards	Lieutenant Colonel Francis Hepburn	40 off 1043 men	0 off 0 men	0 off 7 men	0 off 0 men
Artillery	Lieutenant-Colonel Steven Galway Adye	14 off 401 men	0 off 2 men	0 off 9 men	0 off 0 man
Kuhlmann's Battery KGLHA, King's German Legion	Captain Heinrich Jacob Kuhlmann	8 off 302 men 5x9lb guns 1x5.5inch Howitzer	0 off 0 men	0 off 0 men	0 off 0 men
5th Brigade	Major-General Sir Colin Halkett K.C.B.	173 off 2059 men	5 off 62 men	15 off 248 men	0 off 0 men
2nd Battalion, 73rd Regiment of Foot	Lieutenant-Colonel William George Harris	39 off 471 men	1 off 4 men	3 off 44 men	0 off 0 men
1st Hanoverian Brigade	Major-General Friedrich, Graf von Kielmansegge	127 off 3189 men	0 off 44 men	10 off 169 men	1 off 6 men
Field Battalion Bremen	Lieutenant Colonel Wilhelm von Langrehre	21 off 512 men	0 off 5 men	1 off 13 men	0 off 0 men
Field Battalion 1st Duke of York's Osnabrück	Friedrich Wilhelm Freiherr von Bülow	25 off 607 men	0 off 20 men	2 off 22 men	0 off 4 men
Light Battalion Grubenhagen	Lieutenant Colonel Baron Friedrich von Wurmb	22 off 621 men	0 off 5 men	4 off 74 men	0 off 0 men
Light Battalion Lüneburg	Lieutenant Colonel August von Klencke	22 off 595 men	0 off 11 men	3 off 42 men	1 off 2 men
Field Battalion Verden	Major Julius von Schkopp	26 off 533 men	0 off 0 men	0 off 0 men	0 off 0 men
Field Jaeger Battalion (two companies)	Captain de Reden	10 off 321 men	0 off 3 men	0 off 18 men	0 off 0 men
3rd Division Artillery	Lieutenant Colonel John Samuel Williamson	13 off 225 men	0 off 9 men	0 off 17 men	0 off 0 men
Lloyd's Battery R.F.A.	Major William Lloyd	5 off 93 men, 5x9lb guns 1x5.5inch Howitzer	0 off 7 men	0 off 8 men	0 off 0 man
Cleeves' Battery KGLFA King's German Legion	Captain Andreas Cleeves	6 off 132 men, 5x9lb guns 1x5.5inch Howitzer	0 off 2 men	0 off 9 men	0 off 0 man
1st Brigade (1e Brigade)	Generaal-Majoor Willem Frederik van Bylandt	121 off 3216 men	2 off 35 men	6 off 181 men	0 off 185 men
27th Light Battalion (Bataljon Jagers No. 27)	Luitenant-Kolonel Johann Willem Grunebosch	23 off 739 men	0 off 3 men	1 off 62 men	0 off 33 men
Train (Trein)	Luitenant Frederik Van Gahlen	2 off 126 men	0 off 0 men	0 off 0 men	0 off 0 men
1st Battalion (1e Bataljon)	Kapitein Moritz Büsgen	27 off 835 men	0 off 5 men	1 off 31 men	0 off 9 men
2nd Battalion (2e Bataljon)	Majoor Philipp von Normann	25 off 819 men	1 off 4 men	2 off 27 men	0 off 0 men
3rd Battalion (3e Bataljon)	Majoor Gottfried Hechmann	27 off 819 men	0 off 3 men	1 off 33 men	0 off 0 men
1st Battalion (1e Bataljon)	Luitenant-Kolonel Wilhelm Ferdinand von Dressel	28 off 835 men	0 off 1 man	0 off 7 men	0 off 6 men
2nd Battalion (2e Bataljon)	Majoor Christian Philipp Schleyer	22 off 637 men	0 off 1 man	0 off 12 men	0 off 16 men
