Romaji title	Japanese title	Release date	Reference	Oricon
TENCA wo Torou! ~Uchida no Yabou~	TENCAを取ろう~内田の野望	1994/10/21	KIDS-220	1
Ashita wa Ashita no Kaze ga Fuku	明日は明日の風が吹く	1995/04/05	KIDS-240	3
Only You	Only You	1995/04/21	KIDS-250	2
Baby's Growing Up	Baby's Growing Up	1995/08/19	KIDS-270	5
Shiawase ni Naritai	幸せになりたい	1996/01/24	KIDS-280	6
Ever & Ever (Uchida Yuki & m.C.A.T)	Ever & Ever	1996/07/17	KIDS-300	8
Aishiteru	アイシテル	1997/02/21	KIDS-330	23
Da.i.su.ki	Da.i.su.ki	1997/05/21	KIDS-340	29
Heartbreak Sniper	ハートブレイク　スナイパー	1998/09/23	KIDS-370	32
Rakuen	楽園	1999/08/25	KIDS-430	28
